session_date,equity,drawdown_pct
2026-07-02,101174.14023515917,0.0
2026-07-02,101658.80382579114,0.0
2026-07-08,101551.03556186681,-0.0010600976980705665
2026-07-09,101434.29739618632,-0.002208430762076941
2026-07-10,101334.4493728127,-0.0031906184292142103
2026-07-10,101184.86408734827,-0.004662062906573705
2026-07-10,101073.9608576803,-0.005752998718271981
2026-07-15,101490.17326108826,-0.001658789581981058
2026-07-16,101751.09459364945,0.0
2026-07-17,101636.83155180434,-0.0011229662177240777
2026-07-17,101489.22182825145,-0.0025736604254117416
2026-07-21,101422.77513361815,-0.0032266921682019057
2026-07-21,101317.30667196866,-0.004263226095140859
2026-07-21,101376.89326414742,-0.0036776147814078118
2026-07-23,101174.69357631722,-0.005664813922976765
2026-07-24,101446.93244704157,-0.002989276408500308
2026-07-27,101702.25962483067,-0.00047994539040404683
2026-07-27,102438.63472868678,0.0
2026-07-28,102339.79212986729,-0.0009648957064029892
2026-07-28,102197.37287703756,-0.0023551841772219504
2026-07-30,102104.6230622968,-0.003260602479471023
2026-07-30,102307.76918338933,-0.0012775018492198
2026-07-30,102163.37646876017,-0.002687055139456423
2026-07-31,102058.81878337981,-0.003707741188790017
2026-07-31,101929.74915033934,-0.004967711446909153
2026-08-03,101797.07800108916,-0.0062628394970004435
2026-08-05,101682.80539578675,-0.007378362030125421
2026-08-06,101556.30861697464,-0.008613216234763604
