session_date,equity,drawdown_pct
2026-07-02,101123.73214797821,0.0
2026-07-02,101555.69716780032,0.0
2026-07-08,101396.00149699014,-0.0015724934716987266
2026-07-09,101227.17928095971,-0.003234854331193235
2026-07-10,101075.26913591388,-0.004730685183447882
2026-07-10,100873.55715428336,-0.006716905427667484
2026-07-10,100710.57744983405,-0.00832173616581924
2026-07-15,101075.39773911481,-0.004729418851725394
2026-07-16,101283.91174441823,-0.00267622034963743
2026-07-17,101117.56786570665,-0.004314177484004186
2026-07-17,100917.83401088379,-0.006280919482661713
2026-07-21,100799.40612140021,-0.007447056812090856
2026-07-21,100641.86824099497,-0.008998302924309904
2026-07-21,100649.3095817771,-0.008925029430161846
2026-07-23,100394.91488786064,-0.011430006511813149
2026-07-24,100615.57472186466,-0.00925721030088836
2026-07-27,100819.30090627627,-0.007251156577727972
2026-07-27,101504.69956714328,-0.0005021638576590409
2026-07-28,101353.79615200653,-0.001988081628352051
2026-07-28,101159.49459721294,-0.0039013327822735263
2026-07-30,101014.69187649079,-0.005327178153438557
2026-07-30,101165.50587586768,-0.0038421408430482228
2026-07-30,100969.23342811446,-0.005774799012179954
2026-07-31,100812.6075064503,-0.007317065236844535
2026-07-31,100631.43781296544,-0.009101009402827782
2026-08-03,100446.66192737847,-0.010920463069534994
2026-08-05,100280.47038184066,-0.012556920207564586
2026-08-06,100102.07057490444,-0.014313589817556465
