avg_daily_volume_14d,avg_opening_volume_14d,breakout_triggered,candle_type,cost_adjusted_pnl,cost_model,daily_atr_14,direction,entry_trigger_price,exit_price,exit_reason,exit_time,gross_pnl,opening_bar_time,opening_price,opening_rel_volume,outcome_ambiguous,passed_filters,pnl_r,position_value,quantity,rank,rejection_reason,risk_amount,scenario,selected,session_date,simulated_entry_price,stop_hit,stop_price,symbol,trigger_time
47262439.28571428,20994.714285714286,True,bearish,3526.1458071585653,zero,18.164308427056334,short,418.44,392.82,eod_flatten,2026-07-02 19:59:00,3526.1458071585653,2026-07-02 13:35:00,418.44,1.5723481420493592,False,True,14.104583228634262,57590.962199353235,137.63254516622032,1,None,250.0,research_fidelity,True,2026-07-02,418.44,False,420.25643084270564,TSLA,2026-07-02 13:40:00
47262439.28571428,20994.714285714286,True,bearish,3380.9932949895515,baseline,18.164308427056334,short,418.44,392.82,eod_flatten,2026-07-02 19:59:00,3526.1458071585653,2026-07-02 13:35:00,418.44,1.5723481420493592,False,True,13.523973179958206,57590.962199353235,137.63254516622032,1,None,250.0,research_fidelity,True,2026-07-02,418.44,False,420.25643084270564,TSLA,2026-07-02 13:40:00
47262439.28571428,20994.714285714286,True,bearish,3235.8407828205454,stressed,18.164308427056334,short,418.44,392.82,eod_flatten,2026-07-02 19:59:00,3526.1458071585653,2026-07-02 13:35:00,418.44,1.5723481420493592,False,True,12.943363131282181,57590.962199353235,137.63254516622032,1,None,250.0,research_fidelity,True,2026-07-02,418.44,False,420.25643084270564,TSLA,2026-07-02 13:40:00
47262439.28571428,20994.714285714286,True,bearish,1224.5483223401206,zero,18.164308427056334,short,418.44,392.82,eod_flatten,2026-07-02 19:59:00,1224.5483223401206,2026-07-02 13:35:00,418.44,1.5723481420493592,False,True,14.10458322863426,20000.0,47.796577765032026,1,None,86.8191780281829,intended_deployment,True,2026-07-02,418.44,False,420.25643084270564,TSLA,2026-07-02 13:40:00
47262439.28571428,20994.714285714286,True,bearish,1174.1402351591623,baseline,18.164308427056334,short,418.44,392.82,eod_flatten,2026-07-02 19:59:00,1224.5483223401206,2026-07-02 13:35:00,418.44,1.5723481420493592,False,True,13.523973179958206,20000.0,47.796577765032026,1,None,86.8191780281829,intended_deployment,True,2026-07-02,418.44,False,420.25643084270564,TSLA,2026-07-02 13:40:00
47262439.28571428,20994.714285714286,True,bearish,1123.7321479782067,stressed,18.164308427056334,short,418.44,392.82,eod_flatten,2026-07-02 19:59:00,1224.5483223401206,2026-07-02 13:35:00,418.44,1.5723481420493592,False,True,12.943363131282183,20000.0,47.796577765032026,1,None,86.8191780281829,intended_deployment,True,2026-07-02,418.44,False,420.25643084270564,TSLA,2026-07-02 13:40:00
71398304.28571428,41834.857142857145,True,bullish,2447.531523933417,zero,8.237891852603003,long,300.17,308.235,eod_flatten,2026-07-02 19:59:00,2447.531523933417,2026-07-02 13:35:00,300.125,1.1587466364344154,False,True,9.790126095733669,91094.30099678785,303.47570042571823,2,None,249.99999999999997,research_fidelity,True,2026-07-02,300.17,False,299.3462108147397,AAPL,2026-07-02 13:40:00
71398304.28571428,41834.857142857145,True,bullish,2207.5045503606516,baseline,8.237891852603003,long,300.17,308.235,eod_flatten,2026-07-02 19:59:00,2447.531523933417,2026-07-02 13:35:00,300.125,1.1587466364344154,False,True,8.830018201442607,91094.30099678785,303.47570042571823,2,None,249.99999999999997,research_fidelity,True,2026-07-02,300.17,False,299.3462108147397,AAPL,2026-07-02 13:40:00
71398304.28571428,41834.857142857145,True,bullish,1967.477576787886,stressed,8.237891852603003,long,300.17,308.235,eod_flatten,2026-07-02 19:59:00,2447.531523933417,2026-07-02 13:35:00,300.125,1.1587466364344154,False,True,7.869910307151545,91094.30099678785,303.47570042571823,2,None,249.99999999999997,research_fidelity,True,2026-07-02,300.17,False,299.3462108147397,AAPL,2026-07-02 13:40:00
71398304.28571428,41834.857142857145,True,bullish,537.3621614418494,zero,8.237891852603003,long,300.17,308.235,eod_flatten,2026-07-02 19:59:00,537.3621614418494,2026-07-02 13:35:00,300.125,1.1587466364344154,False,True,9.790126095733669,19999.999999999996,66.62891028417229,2,None,54.888175717779625,intended_deployment,True,2026-07-02,300.17,False,299.3462108147397,AAPL,2026-07-02 13:40:00
71398304.28571428,41834.857142857145,True,bullish,484.6635906319742,baseline,8.237891852603003,long,300.17,308.235,eod_flatten,2026-07-02 19:59:00,537.3621614418494,2026-07-02 13:35:00,300.125,1.1587466364344154,False,True,8.830018201442607,19999.999999999996,66.62891028417229,2,None,54.888175717779625,intended_deployment,True,2026-07-02,300.17,False,299.3462108147397,AAPL,2026-07-02 13:40:00
71398304.28571428,41834.857142857145,True,bullish,431.965019822099,stressed,8.237891852603003,long,300.17,308.235,eod_flatten,2026-07-02 19:59:00,537.3621614418494,2026-07-02 13:35:00,300.125,1.1587466364344154,False,True,7.869910307151545,19999.999999999996,66.62891028417229,2,None,54.888175717779625,intended_deployment,True,2026-07-02,300.17,False,299.3462108147397,AAPL,2026-07-02 13:40:00
49315235.571428575,22196.428571428572,False,bearish,None,zero,20.31028797632383,short,390.585,None,no_trigger,None,None,2026-07-06 13:35:00,392.47,1.1719452936444086,False,True,None,48077.235593030295,123.0903275677005,1,None,250.0,research_fidelity,True,2026-07-06,None,None,392.61602879763234,TSLA,None
49315235.571428575,22196.428571428572,False,bearish,None,baseline,20.31028797632383,short,390.585,None,no_trigger,None,None,2026-07-06 13:35:00,392.47,1.1719452936444086,False,True,None,48077.235593030295,123.0903275677005,1,None,250.0,research_fidelity,True,2026-07-06,None,None,392.61602879763234,TSLA,None
49315235.571428575,22196.428571428572,False,bearish,None,stressed,20.31028797632383,short,390.585,None,no_trigger,None,None,2026-07-06 13:35:00,392.47,1.1719452936444086,False,True,None,48077.235593030295,123.0903275677005,1,None,250.0,research_fidelity,True,2026-07-06,None,None,392.61602879763234,TSLA,None
49315235.571428575,22196.428571428572,False,bearish,None,zero,20.31028797632383,short,390.585,None,no_trigger,None,None,2026-07-06 13:35:00,392.47,1.1719452936444086,False,True,None,20000.0,51.205243416925896,1,None,103.99932396955128,intended_deployment,True,2026-07-06,None,None,392.61602879763234,TSLA,None
49315235.571428575,22196.428571428572,False,bearish,None,baseline,20.31028797632383,short,390.585,None,no_trigger,None,None,2026-07-06 13:35:00,392.47,1.1719452936444086,False,True,None,20000.0,51.205243416925896,1,None,103.99932396955128,intended_deployment,True,2026-07-06,None,None,392.61602879763234,TSLA,None
49315235.571428575,22196.428571428572,False,bearish,None,stressed,20.31028797632383,short,390.585,None,no_trigger,None,None,2026-07-06 13:35:00,392.47,1.1719452936444086,False,True,None,20000.0,51.205243416925896,1,None,103.99932396955128,intended_deployment,True,2026-07-06,None,None,392.61602879763234,TSLA,None
74806497.14285715,43235.357142857145,False,bearish,None,zero,8.171759259699739,short,310.18,None,no_trigger,None,None,2026-07-07 13:35:00,311.245,1.4559148844778165,False,True,None,94893.88702677918,305.9316752426951,1,None,250.0,research_fidelity,True,2026-07-07,None,None,310.99717592597,AAPL,None
74806497.14285715,43235.357142857145,False,bearish,None,baseline,8.171759259699739,short,310.18,None,no_trigger,None,None,2026-07-07 13:35:00,311.245,1.4559148844778165,False,True,None,94893.88702677918,305.9316752426951,1,None,250.0,research_fidelity,True,2026-07-07,None,None,310.99717592597,AAPL,None
74806497.14285715,43235.357142857145,False,bearish,None,stressed,8.171759259699739,short,310.18,None,no_trigger,None,None,2026-07-07 13:35:00,311.245,1.4559148844778165,False,True,None,94893.88702677918,305.9316752426951,1,None,250.0,research_fidelity,True,2026-07-07,None,None,310.99717592597,AAPL,None
74806497.14285715,43235.357142857145,False,bearish,None,zero,8.171759259699739,short,310.18,None,no_trigger,None,None,2026-07-07 13:35:00,311.245,1.4559148844778165,False,True,None,20000.0,64.4786897930234,1,None,52.69043303694572,intended_deployment,True,2026-07-07,None,None,310.99717592597,AAPL,None
74806497.14285715,43235.357142857145,False,bearish,None,baseline,8.171759259699739,short,310.18,None,no_trigger,None,None,2026-07-07 13:35:00,311.245,1.4559148844778165,False,True,None,20000.0,64.4786897930234,1,None,52.69043303694572,intended_deployment,True,2026-07-07,None,None,310.99717592597,AAPL,None
74806497.14285715,43235.357142857145,False,bearish,None,stressed,8.171759259699739,short,310.18,None,no_trigger,None,None,2026-07-07 13:35:00,311.245,1.4559148844778165,False,True,None,20000.0,64.4786897930234,1,None,52.69043303694572,intended_deployment,True,2026-07-07,None,None,310.99717592597,AAPL,None
