session_date,equity,drawdown_pct
2026-07-02,28526.145807158566,0.0
2026-07-02,30973.67733109198,0.0
2026-07-08,30723.67733109198,-0.008071369677149866
2026-07-09,30473.67733109198,-0.01614273935429973
2026-07-10,30234.747822584945,-0.023856692914059813
2026-07-10,29984.747822584945,-0.03192806259120968
2026-07-10,29734.747822584945,-0.039999432268359544
2026-07-15,31246.74598545937,0.0
2026-07-16,32408.31087489742,0.0
2026-07-17,32158.31087489742,-0.007714070658142294
2026-07-17,31908.31087489742,-0.015428141316284588
2026-07-21,31852.569495301363,-0.017148113079429834
2026-07-21,31602.569495301363,-0.024862183737572128
2026-07-21,31910.478189189405,-0.015361266053937454
2026-07-23,31660.478189189405,-0.023075336712079748
2026-07-24,32230.833735709617,-0.0054762847675986406
2026-07-27,32902.43219679881,0.0
2026-07-27,35625.260046749274,0.0
2026-07-28,35391.35113423807,-0.006565816283284762
2026-07-28,35141.35113423807,-0.013583308918340264
2026-07-30,34937.86659044119,-0.019295114068109295
2026-07-30,35682.63580648078,0.0
2026-07-30,35432.63580648078,-0.0070062088842269415
2026-07-31,35182.63580648078,-0.014012417768453883
2026-07-31,34932.63580648078,-0.021018626652680825
2026-08-03,34682.63580648078,-0.028024835536907766
2026-08-05,34432.63580648078,-0.03503104442113471
2026-08-06,34182.63580648078,-0.04203725330536165
