session_date,equity,drawdown_pct
2026-07-02,28235.840782820545,0.0
2026-07-02,30203.31835960843,0.0
2026-07-08,29488.359459979867,-0.023671534733901763
2026-07-09,28835.569551838405,-0.04528471976109573
2026-07-10,28076.01882660926,-0.07043264278682891
2026-07-10,27558.588851779055,-0.08756420325543537
2026-07-10,26865.963086668147,-0.11049631147163627
2026-07-15,28045.608677090277,-0.07143949074826518
2026-07-16,28818.607060501825,-0.04584632995023524
2026-07-17,28149.831006449345,-0.0679887993997792
2026-07-17,27626.888617845194,-0.08530287007167907
2026-07-21,27170.538402402603,-0.1004121441590217
2026-07-21,26432.988289759305,-0.12483165011733519
2026-07-21,26453.49500877225,-0.1241526942897408
2026-07-23,26029.517085285275,-0.1381901559500453
2026-07-24,26418.175517462714,-0.12532208537746872
2026-07-27,26863.95470877766,-0.11056280674432704
2026-07-27,29234.20795792043,-0.03208622278352086
2026-07-28,28479.6908822367,-0.05706748698436977
2026-07-28,27943.16531743859,-0.0748312822869289
2026-07-30,27219.151713827843,-0.09880260871505364
2026-07-30,27658.80411964171,-0.08424618148479857
2026-07-30,27128.41248011182,-0.10180688899431499
2026-07-31,26382.424837070605,-0.12650575268072506
2026-07-31,25793.979015643414,-0.145988572893425
2026-08-03,25220.61389081899,-0.16497208715493072
2026-08-05,24554.287599656873,-0.18703344754019255
2026-08-06,23956.38293173638,-0.2068294401792028
