ambiguous,atr,conviction,cost_model,decision_time,entry,exit_price,exit_reason,exit_time,fill_price,filled_at,final_stop,gross_pnl,market,mode,net_pnl,outcome_data_missing,pnl_r,portfolio,quantity,reserved_notional,risk_amount,signal_bar_end,status,stop,strategy_version,symbol,target,transaction_cost
False,405.62959812869866,87,zero,2026-06-15 15:16:00,66542.045,66590.40560281,stop_limit,2026-06-15 19:18:00,66571.27,2026-06-15 15:16:00,66590.40560281,5.751432124031416,crypto,crypto_7day,5.751432124031416,False,0.01887002615008482,current_1pct,0.300561847,19999.999948357115,304.7919530310541,2026-06-15 15:00:00,closed,65527.97100467,crypto_trend_momentum_v1,BTC-USD,68570.19299066,0.0
False,405.62959812869866,87,baseline,2026-06-15 15:16:00,66542.045,66590.40560281,stop_limit,2026-06-15 19:18:00,66571.27,2026-06-15 15:16:00,66590.40560281,5.751432124031416,crypto,crypto_7day,-134.3301849667525,False,-0.44072746550846803,current_1pct,0.300561847,19999.999948357115,304.7919530310541,2026-06-15 15:00:00,closed,65527.97100467,crypto_trend_momentum_v1,BTC-USD,68570.19299066,140.08161709078394
False,405.62959812869866,87,stressed,2026-06-15 15:16:00,66542.045,66590.40560281,stop_limit,2026-06-15 19:18:00,66571.27,2026-06-15 15:16:00,66590.40560281,5.751432124031416,crypto,crypto_7day,-194.36516371994563,False,-0.6376978190764193,current_1pct,0.300561847,19999.999948357115,304.7919530310541,2026-06-15 15:00:00,closed,65527.97100467,crypto_trend_momentum_v1,BTC-USD,68570.19299066,200.11659584397705
False,405.62959812869866,87,zero,2026-06-15 15:16:00,66542.045,66590.40560281,stop_limit,2026-06-15 19:18:00,66571.27,2026-06-15 15:16:00,66590.40560281,4.717506532904565,crypto,crypto_7day,4.717506532904565,False,0.01887002615008482,safe_0_25pct,0.246530333,16404.632512350985,249.9999997553453,2026-06-15 15:00:00,closed,65527.97100467,crypto_trend_momentum_v1,BTC-USD,68570.19299066,0.0
False,405.62959812869866,87,baseline,2026-06-15 15:16:00,66542.045,66590.40560281,stop_limit,2026-06-15 19:18:00,66571.27,2026-06-15 15:16:00,66590.40560281,4.717506532904565,crypto,crypto_7day,-110.18186626929096,False,-0.44072746550846803,safe_0_25pct,0.246530333,16404.632512350985,249.9999997553453,2026-06-15 15:00:00,closed,65527.97100467,crypto_trend_momentum_v1,BTC-USD,68570.19299066,114.89937280219553
False,405.62959812869866,87,stressed,2026-06-15 15:16:00,66542.045,66590.40560281,stop_limit,2026-06-15 19:18:00,66571.27,2026-06-15 15:16:00,66590.40560281,4.717506532904565,crypto,crypto_7day,-159.42445461308907,False,-0.6376978190764193,safe_0_25pct,0.246530333,16404.632512350985,249.9999997553453,2026-06-15 15:00:00,closed,65527.97100467,crypto_trend_momentum_v1,BTC-USD,68570.19299066,164.14196114599363
