avg_daily_volume_14d,avg_opening_volume_14d,breakout_triggered,candle_type,cost_adjusted_pnl,cost_model,daily_atr_14,direction,entry_gapped,entry_trigger_price,equity_at_arm_time,exit_gapped,exit_price,exit_reason,exit_time,gross_pnl,opening_bar_time,opening_close,opening_high,opening_low,opening_open,opening_price,opening_rel_volume,opening_volume,outcome_ambiguous,outcome_data_missing,passed_filters,pnl_r,quantity,rank,realized_position_value,rejection_reason,reservation_overrun,reserved_position_value,reserved_risk_amount,scenario,selected,session_date,session_exposure_cap_exceeded,session_worst_case_realized_gross_exposure,simulated_entry_price,stop_hit,stop_price,symbol,trigger_time,triggered
10671408.285714285,11617.142857142857,True,bearish,-250.0,zero,1.560212891167946,short,False,62.27,25000.0,False,62.4260212891168,stop,2024-01-02 14:42:00,-250.0,2024-01-02 14:30:00,62.6,63.07,62.27,62.65,62.65,4.564977865223807,53032.0,True,False,True,-1.0,1602.3454325701432,1,99778.05008614282,None,False,99778.05008614282,250.0,research_fidelity,True,2024-01-02,False,99778.05008614282,62.27,True,62.4260212891168,CRWD,2024-01-02 14:42:00,True
10671408.285714285,11617.142857142857,True,bearish,-509.7479302239753,baseline,1.560212891167946,short,False,62.27,25000.0,False,62.4260212891168,stop,2024-01-02 14:42:00,-250.0,2024-01-02 14:30:00,62.6,63.07,62.27,62.65,62.65,4.564977865223807,53032.0,True,False,True,-2.038991720895901,1602.3454325701432,1,99778.05008614282,None,False,99778.05008614282,250.0,research_fidelity,True,2024-01-02,False,99778.05008614282,62.27,True,62.4260212891168,CRWD,2024-01-02 14:42:00,True
10671408.285714285,11617.142857142857,True,bearish,-769.4958604479392,stressed,1.560212891167946,short,False,62.27,25000.0,False,62.4260212891168,stop,2024-01-02 14:42:00,-250.0,2024-01-02 14:30:00,62.6,63.07,62.27,62.65,62.65,4.564977865223807,53032.0,True,False,True,-3.0779834417917566,1602.3454325701432,1,99778.05008614282,None,False,99778.05008614282,250.0,research_fidelity,True,2024-01-02,False,99778.05008614282,62.27,True,62.4260212891168,CRWD,2024-01-02 14:42:00,True
10671408.285714285,11617.142857142857,True,bearish,-50.111221813648164,zero,1.560212891167946,short,False,62.27,100000.0,False,62.4260212891168,stop,2024-01-02 14:42:00,-50.111221813648164,2024-01-02 14:30:00,62.6,63.07,62.27,62.65,62.65,4.564977865223807,53032.0,True,False,True,-1.0,321.1819495744339,1,20000.0,None,False,20000.0,50.111221813648164,intended_deployment,True,2024-01-02,False,80000.0,62.27,True,62.4260212891168,CRWD,2024-01-02 14:42:00,True
7076952.571428572,3969.0,True,bullish,112.23799864773281,zero,1.5459092041228732,long,False,147.9,100000.0,False,148.73,eod_flatten,2024-01-02 20:59:00,112.23799864773281,2024-01-02 14:30:00,147.9,147.9,146.425,146.425,146.425,2.560846560846561,10164.0,False,False,True,5.369008721769684,135.2265043948614,2,20000.0,None,False,20000.0,20.904789778538102,intended_deployment,True,2024-01-02,False,80000.0,147.9,False,147.74540907958772,PG,2024-01-02 14:36:00,True
5767120.357142857,1496.0,False,bullish,None,zero,0.6838882959761101,long,False,72.405,100000.0,False,None,no_trigger,None,None,2024-01-02 14:30:00,72.33,72.405,72.23,72.285,72.285,2.4598930481283423,3680.0,False,False,True,None,276.22401767833713,3,None,None,False,20000.0,18.890637275770718,intended_deployment,True,2024-01-02,False,80000.0,None,None,72.33661117040239,XLC,None,False
42818693.14285714,15753.142857142857,True,bearish,-58.744120139533074,zero,1.4411401273231297,short,True,49.065,100000.0,False,49.20911401273231,stop,2024-01-02 14:35:00,-58.744120139533074,2024-01-02 14:30:00,49.065,49.32,49.065,49.23,49.23,2.3428340829947767,36907.0,False,False,True,-1.0,407.62254152654646,4,20000.0,None,False,20000.0,58.744120139533074,intended_deployment,True,2024-01-02,False,80000.0,49.065,True,49.20911401273231,INTC,2024-01-02 14:35:00,True
48556387.85714286,15387.42857142857,True,bearish,-69.55391981931088,zero,0.5759064561038949,short,False,16.56,100000.0,False,16.617590645610388,stop,2024-01-02 14:51:00,-69.55391981931088,2024-01-02 14:30:00,16.71,16.91,16.56,16.91,16.91,2.173007650029709,33437.0,False,False,True,-1.0,1207.729468599034,5,20000.0,None,False,20000.0,69.55391981931088,intended_deployment,True,2024-01-02,False,80000.0,16.56,True,16.617590645610388,PLTR,2024-01-02 14:49:00,True
10671408.285714285,11617.142857142857,True,bearish,-102.1763664020067,baseline,1.560212891167946,short,False,62.27,100000.0,False,62.4260212891168,stop,2024-01-02 14:42:00,-50.111221813648164,2024-01-02 14:30:00,62.6,63.07,62.27,62.65,62.65,4.564977865223807,53032.0,True,False,True,-2.0389917208959014,321.1819495744339,1,20000.0,None,False,20000.0,50.111221813648164,intended_deployment,True,2024-01-02,False,80000.0,62.27,True,62.4260212891168,CRWD,2024-01-02 14:42:00,True
7076952.571428572,3969.0,True,bullish,60.09208924949193,baseline,1.5459092041228732,long,False,147.9,100000.0,False,148.73,eod_flatten,2024-01-02 20:59:00,112.23799864773281,2024-01-02 14:30:00,147.9,147.9,146.425,146.425,146.425,2.560846560846561,10164.0,False,False,True,2.8745608009502903,135.2265043948614,2,20000.0,None,False,20000.0,20.904789778538102,intended_deployment,True,2024-01-02,False,80000.0,147.9,False,147.74540907958772,PG,2024-01-02 14:36:00,True
5767120.357142857,1496.0,False,bullish,None,baseline,0.6838882959761101,long,False,72.405,100000.0,False,None,no_trigger,None,None,2024-01-02 14:30:00,72.33,72.405,72.23,72.285,72.285,2.4598930481283423,3680.0,False,False,True,None,276.22401767833713,3,None,None,False,20000.0,18.890637275770718,intended_deployment,True,2024-01-02,False,80000.0,None,None,72.33661117040239,XLC,None,False
42818693.14285714,15753.142857142857,True,bearish,-110.82048749571385,baseline,1.4411401273231297,short,True,49.065,100000.0,False,49.20911401273231,stop,2024-01-02 14:35:00,-58.744120139533074,2024-01-02 14:30:00,49.065,49.32,49.065,49.23,49.23,2.3428340829947767,36907.0,False,False,True,-1.886494975709661,407.62254152654646,4,20000.0,None,False,20000.0,58.744120139533074,intended_deployment,True,2024-01-02,False,80000.0,49.065,True,49.20911401273231,INTC,2024-01-02 14:35:00,True
48556387.85714286,15387.42857142857,True,bearish,-121.64433991507804,baseline,0.5759064561038949,short,False,16.56,100000.0,False,16.617590645610388,stop,2024-01-02 14:51:00,-69.55391981931088,2024-01-02 14:30:00,16.71,16.91,16.56,16.91,16.91,2.173007650029709,33437.0,False,False,True,-1.7489214156598092,1207.729468599034,5,20000.0,None,False,20000.0,69.55391981931088,intended_deployment,True,2024-01-02,False,80000.0,16.56,True,16.617590645610388,PLTR,2024-01-02 14:49:00,True
10671408.285714285,11617.142857142857,True,bearish,-154.24151099036297,stressed,1.560212891167946,short,False,62.27,100000.0,False,62.4260212891168,stop,2024-01-02 14:42:00,-50.111221813648164,2024-01-02 14:30:00,62.6,63.07,62.27,62.65,62.65,4.564977865223807,53032.0,True,False,True,-3.0779834417917575,321.1819495744339,1,20000.0,None,False,20000.0,50.111221813648164,intended_deployment,True,2024-01-02,False,80000.0,62.27,True,62.4260212891168,CRWD,2024-01-02 14:42:00,True
7076952.571428572,3969.0,True,bullish,7.946179851251053,stressed,1.5459092041228732,long,False,147.9,100000.0,False,148.73,eod_flatten,2024-01-02 20:59:00,112.23799864773281,2024-01-02 14:30:00,147.9,147.9,146.425,146.425,146.425,2.560846560846561,10164.0,False,False,True,0.3801128801308969,135.2265043948614,2,20000.0,None,False,20000.0,20.904789778538102,intended_deployment,True,2024-01-02,False,80000.0,147.9,False,147.74540907958772,PG,2024-01-02 14:36:00,True
5767120.357142857,1496.0,False,bullish,None,stressed,0.6838882959761101,long,False,72.405,100000.0,False,None,no_trigger,None,None,2024-01-02 14:30:00,72.33,72.405,72.23,72.285,72.285,2.4598930481283423,3680.0,False,False,True,None,276.22401767833713,3,None,None,False,20000.0,18.890637275770718,intended_deployment,True,2024-01-02,False,80000.0,None,None,72.33661117040239,XLC,None,False
42818693.14285714,15753.142857142857,True,bearish,-162.89685485189463,stressed,1.4411401273231297,short,True,49.065,100000.0,False,49.20911401273231,stop,2024-01-02 14:35:00,-58.744120139533074,2024-01-02 14:30:00,49.065,49.32,49.065,49.23,49.23,2.3428340829947767,36907.0,False,False,True,-2.772989951419322,407.62254152654646,4,20000.0,None,False,20000.0,58.744120139533074,intended_deployment,True,2024-01-02,False,80000.0,49.065,True,49.20911401273231,INTC,2024-01-02 14:35:00,True
