cost_model,mode,net_pnl,period,portfolio
zero,stock_only,-1639.302800000019,2022,current_1pct
zero,stock_only,2897.0442999999896,2023,current_1pct
zero,stock_only,0.0,2024,current_1pct
zero,stock_only,0.0,2025,current_1pct
zero,stock_only,-399.6900000000042,2026,current_1pct
baseline,stock_only,-8313.944374650016,2022,current_1pct
baseline,stock_only,-353.6485168000096,2023,current_1pct
baseline,stock_only,0.0,2024,current_1pct
baseline,stock_only,0.0,2025,current_1pct
baseline,stock_only,-484.99394000000376,2026,current_1pct
stressed,stock_only,-18105.838198840018,2022,current_1pct
stressed,stock_only,-4512.476575190009,2023,current_1pct
stressed,stock_only,0.0,2024,current_1pct
stressed,stock_only,0.0,2025,current_1pct
stressed,stock_only,-586.8976700000031,2026,current_1pct
zero,stock_only,-165.27110000001585,2022,safe_0_25pct
zero,stock_only,3025.908499999994,2023,safe_0_25pct
zero,stock_only,0.0,2024,safe_0_25pct
zero,stock_only,0.0,2025,safe_0_25pct
zero,stock_only,-298.6200000000033,2026,safe_0_25pct
baseline,stock_only,-6141.040628600016,2022,safe_0_25pct
baseline,stock_only,-75.82346635000567,2023,safe_0_25pct
baseline,stock_only,0.0,2024,safe_0_25pct
baseline,stock_only,0.0,2025,safe_0_25pct
baseline,stock_only,-368.350270000003,2026,safe_0_25pct
stressed,stock_only,-14988.311598940016,2022,safe_0_25pct
stressed,stock_only,-4141.959579770005,2023,safe_0_25pct
stressed,stock_only,0.0,2024,safe_0_25pct
stressed,stock_only,0.0,2025,safe_0_25pct
stressed,stock_only,-452.3192570000026,2026,safe_0_25pct
zero,crypto_weekends,-2806.7930111932633,2022,current_1pct
zero,crypto_weekends,-2934.6689205005046,2023,current_1pct
zero,crypto_weekends,-352.0793379491262,2024,current_1pct
zero,crypto_weekends,1327.6126597627597,2025,current_1pct
zero,crypto_weekends,308.9215301864107,2026,current_1pct
baseline,crypto_weekends,-4152.762115124527,2022,current_1pct
baseline,crypto_weekends,-5295.165875039685,2023,current_1pct
baseline,crypto_weekends,-2199.281066773421,2024,current_1pct
baseline,crypto_weekends,-370.11234995902873,2025,current_1pct
baseline,crypto_weekends,-1188.745822210781,2026,current_1pct
stressed,crypto_weekends,-4724.678606704034,2022,current_1pct
stressed,crypto_weekends,-6269.122681137242,2023,current_1pct
stressed,crypto_weekends,-2935.257997203141,2024,current_1pct
stressed,crypto_weekends,-1028.6439359842702,2025,current_1pct
stressed,crypto_weekends,-1753.2785787430719,2026,current_1pct
zero,crypto_weekends,-969.4051354823866,2022,safe_0_25pct
zero,crypto_weekends,-302.46613210816696,2023,safe_0_25pct
zero,crypto_weekends,-169.23983512594964,2024,safe_0_25pct
zero,crypto_weekends,716.2921384896533,2025,safe_0_25pct
zero,crypto_weekends,138.09615243052593,2026,safe_0_25pct
baseline,crypto_weekends,-1449.318628185111,2022,safe_0_25pct
baseline,crypto_weekends,-1697.5402964191796,2023,safe_0_25pct
baseline,crypto_weekends,-1341.712427646046,2024,safe_0_25pct
baseline,crypto_weekends,-317.3223825633062,2025,safe_0_25pct
baseline,crypto_weekends,-1161.3755051962444,2026,safe_0_25pct
stressed,crypto_weekends,-1654.3839929793546,2022,safe_0_25pct
stressed,crypto_weekends,-2285.8028269675096,2023,safe_0_25pct
stressed,crypto_weekends,-1826.690580281448,2024,safe_0_25pct
stressed,crypto_weekends,-737.8635370641084,2025,safe_0_25pct
stressed,crypto_weekends,-1680.5753634013906,2026,safe_0_25pct
zero,crypto_7day,-8987.883852827226,2022,current_1pct
zero,crypto_7day,-5850.709239978312,2023,current_1pct
zero,crypto_7day,715.516720732259,2024,current_1pct
zero,crypto_7day,206.64914260539246,2025,current_1pct
zero,crypto_7day,-1965.4697641781815,2026,current_1pct
baseline,crypto_7day,-16148.165060308169,2022,current_1pct
baseline,crypto_7day,-13746.950914661229,2023,current_1pct
baseline,crypto_7day,-5259.1678981261375,2024,current_1pct
baseline,crypto_7day,-5360.719915934969,2025,current_1pct
baseline,crypto_7day,-4918.159254084306,2026,current_1pct
stressed,crypto_7day,-19046.26338863851,2022,current_1pct
stressed,crypto_7day,-16270.006781637181,2023,current_1pct
stressed,crypto_7day,-7029.100556008396,2024,current_1pct
stressed,crypto_7day,-6741.742618886248,2025,current_1pct
stressed,crypto_7day,-5459.346936616029,2026,current_1pct
zero,crypto_7day,-3389.4088243494134,2022,safe_0_25pct
zero,crypto_7day,-1911.3991276282677,2023,safe_0_25pct
zero,crypto_7day,471.43891364404334,2024,safe_0_25pct
zero,crypto_7day,-74.38756950816395,2025,safe_0_25pct
zero,crypto_7day,-688.5863267085113,2026,safe_0_25pct
baseline,crypto_7day,-6316.232122558075,2022,safe_0_25pct
baseline,crypto_7day,-6573.875809388159,2023,safe_0_25pct
baseline,crypto_7day,-3171.586572876661,2024,safe_0_25pct
baseline,crypto_7day,-4069.7611383854337,2025,safe_0_25pct
baseline,crypto_7day,-3493.5650935973076,2026,safe_0_25pct
stressed,crypto_7day,-7544.109277908728,2022,safe_0_25pct
stressed,crypto_7day,-8411.971154244018,2023,safe_0_25pct
stressed,crypto_7day,-4507.6534821050445,2024,safe_0_25pct
stressed,crypto_7day,-5427.801892124815,2025,safe_0_25pct
stressed,crypto_7day,-4371.295838248445,2026,safe_0_25pct
