ambiguous,atr,conviction,cost_model,decision_time,delta1_expiration_sessions,delta2_enabled,delta3_enabled,entry,exit_price,exit_reason,exit_time,expires_at,fill_price,filled_at,final_stop,gross_pnl,market,mode,net_pnl,outcome_data_missing,pnl_r,portfolio,quantity,reason,reserved_notional,risk_amount,signal_bar_end,status,stop,strategy_version,symbol,target,transaction_cost,variant_id
False,2.2906450190688825,87,zero,2022-01-10 16:16:00,,False,False,364.97,363.25,stop,2022-01-10 20:06:00,,364.1,2022-01-10 16:16:00,363.25,-46.75000000000125,stock,stock_only,-46.75000000000125,False,-0.24709302325581664,current_1pct,55,,20073.350000000002,189.200000000003,2022-01-10 16:00:00,closed,361.53,stock_trend_momentum_v2,LMT,371.85,0.0,d1_off_d2_off_d3_off
False,1.394643675786177,84,zero,2022-01-10 16:16:00,,False,False,155.26,159.46,target,2022-01-12 14:30:00,,155.26,2022-01-10 16:35:00,157.11,546.0000000000023,stock,stock_only,546.0000000000023,False,2.0000000000000138,current_1pct,130,,20183.8,272.99999999999926,2022-01-10 16:00:00,closed,153.16,stock_trend_momentum_v2,COF,159.46,0.0,d1_off_d2_off_d3_off
False,0.2872847201010258,92,zero,2022-01-11 16:16:00,,False,False,35.54,35.1,stop,2022-01-24 14:30:00,,35.29,2022-01-24 14:30:00,35.1,-108.1099999999987,stock,stock_only,-108.1099999999987,False,-0.4318181818181789,current_1pct,569,,20222.26,250.3599999999987,2022-01-11 16:00:00,closed,35.1,stock_trend_momentum_v2,SLB,36.42,0.0,d1_off_d2_off_d3_off
False,0.6332386405876238,81,zero,2022-01-11 16:16:00,,False,False,125.7,124.75,stop,2022-01-24 14:30:00,,124.45,2022-01-24 14:30:00,124.75,47.999999999999545,stock,stock_only,47.999999999999545,False,0.31578947368420657,current_1pct,160,,20112.0,152.00000000000045,2022-01-11 16:00:00,closed,124.75,stock_trend_momentum_v2,CVX,127.6,0.0,d1_off_d2_off_d3_off
False,0.8925425700496575,92,zero,2022-01-12 16:16:00,,False,False,102.02,101.48,stop,2022-01-13 14:30:00,,101.65,2022-01-12 16:16:00,101.48,-33.66000000000034,stock,stock_only,-33.66000000000034,False,-0.12686567164179333,current_1pct,198,,20199.96,265.3199999999979,2022-01-12 16:00:00,closed,100.68,stock_trend_momentum_v2,EOG,104.7,0.0,d1_off_d2_off_d3_off
False,1.5854770344757285,87,zero,2022-01-12 16:16:00,,False,False,218.26,223.02,target,2022-01-13 14:32:00,,216.7595,2022-01-12 16:16:00,217.74,582.2265000000007,stock,stock_only,582.2265000000007,False,2.6304621848739576,current_1pct,93,,20298.18,221.33999999999958,2022-01-12 16:00:00,closed,215.88,stock_trend_momentum_v2,BA,223.02,0.0,d1_off_d2_off_d3_off
False,0.599773049681971,87,zero,2022-01-13 16:16:00,,False,False,62.83,61.93,stop,2022-01-13 20:36:00,,62.79,2022-01-13 16:16:00,61.93,-278.6399999999998,stock,stock_only,-278.6399999999998,False,-0.9555555555555564,current_1pct,324,,20356.92,291.59999999999957,2022-01-13 16:00:00,closed,61.93,stock_trend_momentum_v2,GM,64.63,0.0,d1_off_d2_off_d3_off
False,0.17470510476916426,87,zero,2022-01-13 16:16:00,,False,False,45.12,44.85,stop,2022-01-13 20:35:00,,45.12,2022-01-13 17:15:00,44.85,-122.0399999999982,stock,stock_only,-122.0399999999982,False,-1.0,current_1pct,452,,20394.239999999998,122.0399999999982,2022-01-13 16:00:00,closed,44.85,stock_trend_momentum_v2,XLB,45.66,0.0,d1_off_d2_off_d3_off
False,0.6769374511654006,87,zero,2022-01-14 16:16:00,,False,False,174.89,174.6,stop,2022-01-18 14:30:00,,174.85,2022-01-14 16:16:00,174.6,-29.0,stock,stock_only,-29.0,False,-0.24509803921569065,current_1pct,116,,20287.239999999998,118.31999999999789,2022-01-14 16:00:00,closed,173.87,stock_trend_momentum_v2,PEP,176.93,0.0,d1_off_d2_off_d3_off
False,0.1748579504433229,81,zero,2022-01-14 16:16:00,,False,False,37.8,37.8,stop,2022-01-18 14:33:00,,37.765,2022-01-14 16:16:00,37.8,18.79499999999817,stock,stock_only,18.79499999999817,False,0.1296296296296189,current_1pct,537,,20298.6,144.98999999999785,2022-01-14 16:00:00,closed,37.53,stock_trend_momentum_v2,KHC,38.34,0.0,d1_off_d2_off_d3_off
