cost_model,date,delta1_expiration_sessions,delta2_enabled,delta3_enabled,portfolio,reason,symbol,variant_id
zero,2022-01-03,,False,False,current_1pct,max_new_trades_per_day,IWM,d1_off_d2_off_d3_off
zero,2022-01-03,,False,False,current_1pct,max_new_trades_per_day,MA,d1_off_d2_off_d3_off
zero,2022-01-03,,False,False,current_1pct,max_new_trades_per_day,RTX,d1_off_d2_off_d3_off
zero,2022-01-03,,False,False,current_1pct,max_new_trades_per_day,TJX,d1_off_d2_off_d3_off
zero,2022-01-04,,False,False,current_1pct,max_new_trades_per_day,DIS,d1_off_d2_off_d3_off
zero,2022-01-04,,False,False,current_1pct,max_new_trades_per_day,XLP,d1_off_d2_off_d3_off
zero,2022-01-05,,False,False,current_1pct,max_new_trades_per_day,KHC,d1_off_d2_off_d3_off
zero,2022-01-05,,False,False,current_1pct,max_new_trades_per_day,UBER,d1_off_d2_off_d3_off
zero,2022-01-05,,False,False,current_1pct,max_new_trades_per_day,CVS,d1_off_d2_off_d3_off
zero,2022-01-05,,False,False,current_1pct,max_new_trades_per_day,PG,d1_off_d2_off_d3_off
zero,2022-01-05,,False,False,current_1pct,max_new_trades_per_day,MRVL,d1_off_d2_off_d3_off
zero,2022-01-06,,False,False,current_1pct,max_new_trades_per_day,MO,d1_off_d2_off_d3_off
zero,2022-01-07,,False,False,current_1pct,already_held_or_pending,DVN,d1_off_d2_off_d3_off
zero,2022-01-07,,False,False,current_1pct,max_new_trades_per_day,SLB,d1_off_d2_off_d3_off
zero,2022-01-07,,False,False,current_1pct,max_new_trades_per_day,CVX,d1_off_d2_off_d3_off
zero,2022-01-07,,False,False,current_1pct,max_new_trades_per_day,MRK,d1_off_d2_off_d3_off
zero,2022-01-07,,False,False,current_1pct,max_new_trades_per_day,DIS,d1_off_d2_off_d3_off
zero,2022-01-07,,False,False,current_1pct,max_new_trades_per_day,AXP,d1_off_d2_off_d3_off
zero,2022-01-07,,False,False,current_1pct,max_new_trades_per_day,MO,d1_off_d2_off_d3_off
zero,2022-01-07,,False,False,current_1pct,max_new_trades_per_day,T,d1_off_d2_off_d3_off
zero,2022-01-07,,False,False,current_1pct,max_new_trades_per_day,XLI,d1_off_d2_off_d3_off
zero,2022-01-10,,False,False,current_1pct,max_new_trades_per_day,PM,d1_off_d2_off_d3_off
zero,2022-01-10,,False,False,current_1pct,max_new_trades_per_day,KHC,d1_off_d2_off_d3_off
zero,2022-01-11,,False,False,current_1pct,max_new_trades_per_day,XLE,d1_off_d2_off_d3_off
zero,2022-01-11,,False,False,current_1pct,max_new_trades_per_day,CVS,d1_off_d2_off_d3_off
zero,2022-01-12,,False,False,current_1pct,max_new_trades_per_day,GE,d1_off_d2_off_d3_off
zero,2022-01-12,,False,False,current_1pct,max_new_trades_per_day,DVN,d1_off_d2_off_d3_off
zero,2022-01-12,,False,False,current_1pct,max_new_trades_per_day,F,d1_off_d2_off_d3_off
zero,2022-01-12,,False,False,current_1pct,max_new_trades_per_day,JPM,d1_off_d2_off_d3_off
zero,2022-01-12,,False,False,current_1pct,max_new_trades_per_day,T,d1_off_d2_off_d3_off
zero,2022-01-12,,False,False,current_1pct,max_new_trades_per_day,XLF,d1_off_d2_off_d3_off
zero,2022-01-13,,False,False,current_1pct,max_new_trades_per_day,XLI,d1_off_d2_off_d3_off
zero,2022-01-13,,False,False,current_1pct,max_new_trades_per_day,NEM,d1_off_d2_off_d3_off
zero,2022-01-13,,False,False,current_1pct,max_new_trades_per_day,GE,d1_off_d2_off_d3_off
zero,2022-01-13,,False,False,current_1pct,max_new_trades_per_day,KHC,d1_off_d2_off_d3_off
zero,2022-01-13,,False,False,current_1pct,max_new_trades_per_day,UBER,d1_off_d2_off_d3_off
zero,2022-01-13,,False,False,current_1pct,max_new_trades_per_day,JPM,d1_off_d2_off_d3_off
zero,2022-01-13,,False,False,current_1pct,max_new_trades_per_day,XLF,d1_off_d2_off_d3_off
zero,2022-01-14,,False,False,current_1pct,max_new_trades_per_day,MO,d1_off_d2_off_d3_off
zero,2022-01-14,,False,False,current_1pct,max_new_trades_per_day,COP,d1_off_d2_off_d3_off
zero,2022-01-14,,False,False,current_1pct,max_new_trades_per_day,OXY,d1_off_d2_off_d3_off
zero,2022-01-14,,False,False,current_1pct,max_new_trades_per_day,QCOM,d1_off_d2_off_d3_off
zero,2022-01-14,,False,False,current_1pct,already_held_or_pending,SLB,d1_off_d2_off_d3_off
zero,2022-01-14,,False,False,current_1pct,max_new_trades_per_day,VRTX,d1_off_d2_off_d3_off
zero,2022-01-14,,False,False,current_1pct,max_new_trades_per_day,WMT,d1_off_d2_off_d3_off
zero,2022-01-14,,False,False,current_1pct,max_new_trades_per_day,XLE,d1_off_d2_off_d3_off
zero,2022-01-14,,False,False,current_1pct,max_new_trades_per_day,EOG,d1_off_d2_off_d3_off
zero,2022-01-14,,False,False,current_1pct,max_new_trades_per_day,DVN,d1_off_d2_off_d3_off
zero,2022-01-14,,False,False,current_1pct,max_new_trades_per_day,MDLZ,d1_off_d2_off_d3_off
zero,2022-01-18,,False,False,current_1pct,max_new_trades_per_day,MO,d1_off_d2_off_d3_off
zero,2022-01-18,,False,False,current_1pct,max_new_trades_per_day,EOG,d1_off_d2_off_d3_off
