ambiguous,atr14,confirmation_time,cost_model,direction,entry,entry_time,exit_price,exit_reason,exit_time,fill_price,gross_per_share,gross_pnl,gross_r,impulse_atr,initial_risk,level_active_time,level_high,level_id,level_low,level_state,mode,net_pnl,pnl_r,portfolio,quantity,reserved_notional,reward_risk,risk_amount,status,stochastic_d,stochastic_k,stop,strategy_version,structure,symbol,target,transaction_cost
False,0.5298000000000026,2025-06-02 15:10:00,zero,short,201.29,2025-06-02 15:10:00,201.79,eod,2025-06-02 20:00:00,201.29,-0.5,-49.5,-0.9381215054973759,1.504895700297983,0.5329800000000091,2025-06-02 14:00:00,201.77,supply:2025-06-02T13:40:00,201.2446,fresh,stock_only,-49.5,-0.9381215054973759,safe_0_25pct,99,19927.71,2.0,52.7650200000009,closed,78.28098335015783,66.01896594564937,201.82298,slc_4h_5m_stock_v1,downtrend,AAPL,200.22403999999997,0.0
False,0.31774285714285455,2025-06-05 18:20:00,zero,long,201.78,2025-06-05 18:20:00,202.27354857142856,target,2025-06-05 18:31:00,201.78,0.4935485714285619,48.86130857142763,2.0,1.577255707611285,0.24677428571428095,2025-06-05 17:25:00,202.05,demand:2025-06-05T17:05:00,201.565,fresh,stock_only,48.86130857142763,2.0,safe_0_25pct,99,19976.22,2.0,24.430654285713814,closed,16.874373299058142,23.817717431318894,201.53322571428572,slc_4h_5m_stock_v1,uptrend,AAPL,202.27354857142856,0.0
False,0.8593142857142847,2025-06-06 14:40:00,zero,long,203.6114,2025-06-06 14:40:00,203.24406857142858,stop,2025-06-06 14:53:00,203.6114,-0.36733142857141843,-35.998479999999006,-1.0,1.7710695294471699,0.36733142857141843,2025-06-05 15:35:00,203.8,demand:2025-06-05T15:15:00,203.33,reclaimed,stock_only,-35.998479999999006,-1.0,safe_0_25pct,98,19953.9172,2.0,35.998479999999006,closed,19.92359950130096,23.44470344470308,203.24406857142858,slc_4h_5m_stock_v1,uptrend,AAPL,204.34606285714284,0.0
