label,cost_bps_per_leg,total_net_pnl,expectancy,count
zero_0bps,0.0,884.4599999999715,0.7208312958434976,1227
baseline_5bps,5.0,-9144.483822700027,-7.452717051915263,1227
stressed_13bps,13.0,-25190.793939020026,-20.53039440832928,1227
