exit_reason,count,net_pnl,avg_pnl_r,win_rate,_section,duration_bucket
monitor_reversal,37,-539.5054813500077,-0.13391281352494575,0.35135135135135137,exit_reason,
stop,950,-55382.42343260005,-0.5719186397830982,0.18736842105263157,exit_reason,
target,240,46777.445091250025,1.9832584193386151,1.0,exit_reason,
,878,-27322.23868295006,,0.2539863325740319,holding_duration,<1d
,248,10755.281928950033,,0.592741935483871,holding_duration,1-3d
,101,7422.472931299998,,0.6039603960396039,holding_duration,3-7d
,0,0.0,,,holding_duration,7-30d
,0,0.0,,,holding_duration,30d+
