timestamp,event,symbol,delta,reserved_total
2022-02-09 16:16:00,reserve,AMD,19942.02,59462.19000000003
2022-02-09 16:16:00,reserve,BA,19878.44,79340.63000000003
2022-02-10 14:30:00,release,AMD,-19942.02,59398.61000000003
2022-02-10 14:30:00,release,BA,-19878.44,39520.17000000003
2022-02-10 15:46:00,release,BMY,-19665.02,19855.150000000027
2022-02-10 16:16:00,reserve,CRWD,19884.8,39739.950000000026
2022-02-10 16:16:00,reserve,NET,19836.3,59576.25000000003
2022-02-10 20:21:00,release,NET,-19836.3,39739.950000000026
2022-02-10 20:35:00,release,CRWD,-19884.8,19855.150000000027
2022-02-11 16:16:00,reserve,OXY,19635.2,39490.35000000003
2022-02-11 16:16:00,reserve,C,19616.55,59106.90000000002
2022-02-11 18:29:00,release,C,-19616.55,39490.35000000002
2022-02-11 19:00:00,release,VRTX,-19855.15,19635.20000000002
2022-02-11 20:27:00,release,OXY,-19635.2,1.8189894035458565e-11
2022-02-14 16:16:00,reserve,MU,19702.98,19702.980000000018
2022-02-14 18:50:00,release,MU,-19702.98,1.8189894035458565e-11
2022-02-15 16:16:00,reserve,MU,19701.76,19701.760000000017
2022-02-15 16:16:00,reserve,DIS,19662.08,39363.84000000002
2022-02-16 14:30:00,release,MU,-19701.76,19662.08000000002
2022-02-16 16:16:00,reserve,AXP,19649.52,39311.60000000002
2022-02-16 16:16:00,reserve,ABBV,19688.4,59000.00000000002
2022-02-17 14:30:00,release,AXP,-19649.52,39350.480000000025
2022-02-17 14:30:00,release,ABBV,-19688.4,19662.080000000024
2022-02-17 14:31:00,release,DIS,-19662.08,2.1827872842550278e-11
2022-02-17 16:16:00,reserve,DVN,19585.35,19585.35000000002
2022-02-17 16:16:00,reserve,AMZN,19604.4,39189.75000000002
2022-02-17 18:04:00,release,AMZN,-19604.4,19585.35000000002
2022-02-18 14:45:00,release,DVN,-19585.35,2.1827872842550278e-11
2022-02-18 16:16:00,reserve,COST,19086.82,19086.82000000002
2022-02-18 16:16:00,reserve,VZ,19442.28,38529.10000000002
2022-02-18 17:37:00,release,COST,-19086.82,19442.28000000002
2022-02-22 14:36:00,release,VZ,-19442.28,2.1827872842550278e-11
2022-02-22 16:16:00,reserve,VZ,19414.8,19414.80000000002
2022-02-23 15:14:00,release,VZ,-19414.8,2.1827872842550278e-11
2022-02-23 16:16:00,reserve,ABBV,19291.06,19291.060000000023
2022-02-23 16:16:00,reserve,GLD,19412.9,38703.96000000002
2022-02-23 19:03:00,release,ABBV,-19291.06,19412.90000000002
2022-02-24 14:30:00,release,GLD,-19412.9,1.8189894035458565e-11
2022-02-24 16:16:00,reserve,GLD,19268.56,19268.56000000002
2022-02-24 16:16:00,reserve,NEM,19416.63,38685.19000000002
2022-02-24 16:40:00,release,NEM,-19416.63,19268.560000000016
2022-02-24 19:09:00,release,GLD,-19268.56,1.4551915228366852e-11
2022-02-28 16:16:00,reserve,RTX,19308.19,19308.190000000013
2022-03-01 16:16:00,reserve,FCX,19372.0,38680.19000000002
2022-03-01 16:16:00,reserve,XLE,19388.16,58068.35000000002
2022-03-01 17:04:00,release,FCX,-19372.0,38696.35000000002
2022-03-02 14:31:00,release,RTX,-19308.19,19388.16000000002
2022-03-02 15:02:00,release,XLE,-19388.16,2.1827872842550278e-11
2022-03-02 16:16:00,reserve,XOM,19378.81,19378.810000000023
2022-03-02 16:16:00,reserve,XLU,19385.7,38764.510000000024
2022-03-03 14:30:00,release,XOM,-19378.81,19385.700000000023
2022-03-03 14:51:00,release,XLU,-19385.7,2.1827872842550278e-11
2022-03-03 16:16:00,reserve,COST,19138.32,19138.32000000002
2022-03-03 16:16:00,reserve,ISRG,19428.5,38566.82000000002
2022-03-04 14:30:00,release,COST,-19138.32,19428.500000000022
2022-03-04 16:16:00,reserve,COP,19394.7,38823.200000000026
2022-03-04 16:16:00,reserve,EOG,19388.16,58211.36000000003
2022-03-04 16:55:00,release,EOG,-19388.16,38823.200000000026
2022-03-07 14:44:00,release,COP,-19394.7,19428.500000000025
2022-03-07 15:10:00,release,ISRG,-19428.5,2.546585164964199e-11
2022-03-07 16:16:00,reserve,COP,19366.83,19366.830000000027
2022-03-07 16:16:00,reserve,XLE,19362.33,38729.16000000003
2022-03-07 17:20:00,release,COP,-19366.83,19362.33000000003
2022-03-07 17:20:00,release,XLE,-19362.33,2.9103830456733704e-11
2022-03-08 16:16:00,reserve,COST,18876.9,18876.90000000003
2022-03-08 16:26:00,release,COST,-18876.9,2.9103830456733704e-11
2022-03-09 16:16:00,reserve,CAT,19080.9,19080.90000000003
2022-03-09 17:52:00,release,CAT,-19080.9,2.9103830456733704e-11
2022-03-10 16:16:00,reserve,OXY,19065.6,19065.600000000028
2022-03-11 16:16:00,reserve,COST,18740.75,37806.35000000003
2022-03-11 16:16:00,reserve,CAT,18884.22,56690.57000000003
2022-03-11 20:13:00,release,COST,-18740.75,37949.82000000003
2022-03-14 13:30:00,release,OXY,-19065.6,18884.22000000003
2022-03-14 15:16:00,reserve,DE,18646.31,37530.53000000003
2022-03-14 15:16:00,reserve,ABBV,18870.32,56400.85000000003
2022-03-14 17:57:00,release,CAT,-18884.22,37516.63000000003
2022-03-14 17:59:00,release,DE,-18646.31,18870.320000000025
2022-03-15 14:19:00,release,ABBV,-18870.32,2.546585164964199e-11
2022-03-15 15:16:00,reserve,CVS,18788.55,18788.550000000025
2022-03-15 15:16:00,reserve,LLY,18559.24,37347.79000000002
2022-03-16 14:41:00,release,LLY,-18559.24,18788.55000000002
2022-03-16 15:16:00,reserve,XLI,18812.2,37600.75000000002
2022-03-16 15:16:00,reserve,XLV,18792.48,56393.230000000025
2022-03-16 18:09:00,release,XLV,-18792.48,37600.75000000003
2022-03-16 18:11:00,release,XLI,-18812.2,18788.55000000003
2022-03-17 15:16:00,reserve,AMZN,18711.14,37499.69000000003
2022-03-17 15:16:00,reserve,TGT,18794.44,56294.130000000034
2022-03-18 14:18:00,release,CVS,-18788.55,37505.58000000003
2022-03-18 15:16:00,reserve,AMT,18645.84,56151.42000000003
2022-03-18 15:16:00,reserve,CI,18677.12,74828.54000000002
2022-03-18 18:04:00,release,AMT,-18645.84,56182.700000000026
2022-03-18 18:07:00,release,CI,-18677.12,37505.58000000003
2022-03-18 18:31:00,release,TGT,-18794.44,18711.140000000032
2022-03-21 15:16:00,reserve,AMD,18749.89,37461.03000000003
2022-03-21 15:16:00,reserve,XLB,18787.86,56248.89000000003
2022-03-22 15:16:00,reserve,DE,18881.28,75130.17000000003
2022-03-22 15:16:00,reserve,MO,18871.56,94001.73000000003
2022-03-22 15:45:00,release,XLB,-18787.86,75213.87000000002
2022-03-22 15:59:00,release,AMD,-18749.89,56463.980000000025
2022-03-23 13:30:00,release,DE,-18881.28,37582.700000000026
2022-03-23 15:16:00,reserve,COP,18691.2,56273.90000000002
2022-03-23 15:16:00,reserve,EOG,18668.13,74942.03000000003
2022-03-23 19:40:00,release,MO,-18871.56,56070.47000000003
2022-03-24 14:08:00,release,EOG,-18668.13,37402.340000000026
2022-03-24 15:16:00,reserve,UBER,18747.36,56149.700000000026
2022-03-24 15:16:00,reserve,EBAY,18718.16,74867.86000000003
2022-03-24 18:55:00,release,COP,-18691.2,56176.66000000003
2022-03-25 15:16:00,reserve,XOM,18714.28,74890.94000000003
2022-03-25 15:16:00,reserve,AMAT,18627.92,93518.86000000003
2022-03-25 15:21:00,release,AMAT,-18627.92,74890.94000000003
2022-03-28 13:30:00,release,XOM,-18714.28,56176.66000000003
2022-03-28 14:20:00,release,UBER,-18747.36,37429.30000000003
2022-03-28 15:16:00,reserve,LULU,18448.05,55877.350000000035
2022-03-28 15:16:00,reserve,PG,18556.56,74433.91000000003
2022-03-28 19:14:00,release,LULU,-18448.05,55985.86000000003
2022-03-29 13:30:00,release,PG,-18556.56,37429.30000000003
2022-03-29 15:16:00,reserve,AVGO,18811.98,56241.28000000003
2022-03-29 15:16:00,reserve,MRVL,18792.03,75033.31000000003
2022-03-30 13:30:00,release,MRVL,-18792.03,56241.28000000003
2022-03-30 13:35:00,release,AVGO,-18811.98,37429.30000000003
2022-03-30 15:16:00,reserve,COST,18397.44,55826.740000000034
2022-03-30 15:16:00,reserve,BMY,18821.55,74648.29000000004
2022-03-30 17:35:00,release,BMY,-18821.55,55826.740000000034
2022-03-31 14:00:00,release,COST,-18397.44,37429.30000000003
2022-03-31 15:16:00,reserve,MPC,18829.09,56258.39000000003
2022-03-31 15:16:00,reserve,MRK,18862.44,75120.83000000003
2022-03-31 19:57:00,release,MRK,-18862.44,56258.39000000003
2022-04-01 13:30:00,release,MPC,-18829.09,37429.30000000003
2022-04-01 15:16:00,reserve,IBB,18813.58,56242.880000000034
2022-04-01 15:16:00,reserve,FCX,18797.74,75040.62000000004
2022-04-01 15:50:00,release,FCX,-18797.74,56242.880000000034
2022-04-01 16:11:00,release,IBB,-18813.58,37429.30000000003
2022-04-04 15:16:00,reserve,V,18699.28,56128.58000000003
2022-04-04 15:16:00,reserve,BMY,18733.68,74862.26000000004
2022-04-04 19:10:00,release,BMY,-18733.68,56128.58000000004
2022-04-05 14:30:00,release,EBAY,-18718.16,37410.42000000004
2022-04-05 15:16:00,reserve,KO,18665.76,56076.18000000004
2022-04-05 15:16:00,reserve,LMT,18552.5,74628.68000000004
2022-04-05 16:02:00,release,LMT,-18552.5,56076.18000000004
2022-04-05 18:06:00,release,V,-18699.28,37376.90000000004
2022-04-05 19:14:00,release,KO,-18665.76,18711.14000000004
2022-04-06 15:16:00,reserve,LLY,18433.22,37144.360000000044
2022-04-06 15:16:00,reserve,LMT,18598.42,55742.78000000004
2022-04-07 15:16:00,reserve,UNH,18140.36,73883.14000000004
2022-04-07 15:16:00,reserve,XLP,18643.2,92526.34000000004
