regime,count,net_pnl,win_rate
DOWNTREND,104,-4472.951824099998,0.3076923076923077
SIDEWAYS,785,-2318.0499314000167,0.3579617834394904
UPTREND,338,-2353.4820672000146,0.34911242603550297
