period,count,net_pnl,expectancy,win_rate
2022Q1,105,-5581.099624950022,-53.153329761428786,0.34285714285714286
2022Q2,76,-3957.4434666499988,-52.071624561184194,0.25
2022Q3,83,5149.105747349987,62.03741864277092,0.39759036144578314
2022Q4,91,-3934.267747899985,-43.23371151538445,0.3076923076923077
2023Q1,94,401.06683739998414,4.266668482978555,0.39361702127659576
2023Q2,85,-1231.14237669999,-14.484027961176354,0.43529411764705883
2023Q3,34,-406.4290874999991,-11.953796691176445,0.3235294117647059
2023Q4,68,945.1410473999957,13.899133049999937,0.35294117647058826
2024Q1,50,-8.083012850000015,-0.1616602570000003,0.4
2024Q2,47,16.77925975000001,0.35700552659574486,0.5106382978723404
2024Q3,45,-4.026236800000021,-0.08947192888888936,0.3333333333333333
2024Q4,40,-6.240555799999985,-0.15601389499999962,0.25
2025Q1,34,-8.999897950000044,-0.2647028808823542,0.3235294117647059
2025Q2,75,-107.35577395000014,-1.4314103193333352,0.24
2025Q3,79,4.485357050000422,0.05677667151899268,0.379746835443038
2025Q4,85,-33.61479429999988,-0.3954681682352927,0.3764705882352941
2026Q1,63,-42.91425315000005,-0.6811786214285722,0.3333333333333333
2026Q2,48,-346.60302480000126,-7.220896350000026,0.2916666666666667
2026Q3,25,7.1577816500000075,0.2863112660000003,0.44
