iex_eligible_count,iex_selected_count,intersection_count,jaccard,overlap_rate,session_date,sip_eligible_count,sip_selected_count,valid
48,20,12,0.42857142857142855,0.6,2026-07-01,34,20,True
37,20,10,0.3448275862068966,0.5,2026-07-02,19,19,True
58,20,8,0.25,0.4,2026-07-06,27,20,True
54,20,13,0.48148148148148145,0.65,2026-07-07,30,20,True
49,20,5,0.14285714285714285,0.25,2026-07-08,25,20,True
38,20,11,0.3793103448275862,0.55,2026-07-09,22,20,True
18,18,8,0.4,0.4444444444444444,2026-07-10,10,10,True
17,17,10,0.37037037037037035,0.5,2026-07-13,24,20,True
44,20,10,0.3333333333333333,0.5,2026-07-14,41,20,True
38,20,12,0.42857142857142855,0.6,2026-07-15,42,20,True
51,20,15,0.6,0.75,2026-07-16,36,20,True
60,20,6,0.17647058823529413,0.3,2026-07-17,116,20,True
35,20,8,0.25,0.4,2026-07-20,26,20,True
48,20,9,0.2903225806451613,0.45,2026-07-21,30,20,True
33,20,13,0.48148148148148145,0.65,2026-07-22,29,20,True
67,20,13,0.48148148148148145,0.65,2026-07-23,51,20,True
31,20,10,0.3333333333333333,0.5,2026-07-24,26,20,True
45,20,10,0.3333333333333333,0.5,2026-07-27,43,20,True
82,20,11,0.3793103448275862,0.55,2026-07-28,86,20,True
39,20,10,0.3333333333333333,0.5,2026-07-29,40,20,True
65,20,14,0.5384615384615384,0.7,2026-07-30,66,20,True
50,20,13,0.48148148148148145,0.65,2026-07-31,54,20,True
