session_date,equity,drawdown_pct
2026-07-01,100033.93561405118,0.0
2026-07-01,99970.33860441603,-0.0006357543492092594
2026-07-01,100139.67477932139,0.0
2026-07-01,100075.14442658424,-0.0006444034582631656
2026-07-02,100011.82446820974,-0.0012767198554757544
2026-07-02,99935.1704075202,-0.0020421912918316886
2026-07-02,99880.44615135605,-0.0025886705597616398
2026-07-02,99853.77748533868,-0.0028549852454857814
2026-07-02,99567.60659856892,-0.0057127026027709625
2026-07-06,99524.75799438586,-0.0061405909924375736
2026-07-06,99476.85852032206,-0.006618917631398179
2026-07-06,99610.22970099408,-0.005287066085385721
2026-07-06,99512.03617159788,-0.006267631776382735
2026-07-06,99577.13354337953,-0.005617566036453901
2026-07-07,99530.2982058723,-0.006085266152421367
2026-07-07,99825.67110721678,-0.0031356569990523514
2026-07-08,99770.06895998685,-0.003690902932818998
2026-07-08,100053.33363920823,-0.0008622071152460845
2026-07-08,99958.93109309074,-0.0018049158500759643
2026-07-08,100026.2419033522,-0.0011327465983802943
2026-07-09,100283.86059171622,0.0
2026-07-09,100188.35012347712,-0.0009524011907354225
2026-07-09,101066.5382256133,0.0
2026-07-10,100991.51335982226,-0.0007423314096655975
2026-07-10,100872.55323635906,-0.0019193789820049364
2026-07-10,100998.47416799584,-0.0006734578903407354
2026-07-10,100862.91681517322,-0.0020147262784991904
2026-07-13,102407.29580681342,0.0
2026-07-13,102345.67086188035,-0.000601763228367215
2026-07-13,102384.81152993478,-0.0002195573733442634
2026-07-14,102340.53600031979,-0.0006519047883030831
2026-07-14,102221.5022670734,-0.0018142607738662008
2026-07-15,102451.37335699423,0.0
2026-07-15,102402.42490618586,-0.00047777251982565074
2026-07-16,102350.44541516124,-0.0009851301990974456
2026-07-16,102303.96287081561,-0.001438833676391656
2026-07-16,102247.56603756292,-0.0019893078321276607
2026-07-16,102190.36780131077,-0.0025476042646492975
2026-07-17,102107.69021074663,-0.0033545977470699644
2026-07-17,102038.17295190529,-0.0040331368096856125
2026-07-17,101918.05366889983,-0.005205588472065049
2026-07-17,101758.52094319518,-0.0067627440325742205
2026-07-20,101667.41681078916,-0.007651986698834693
2026-07-20,101542.82589145997,-0.008868084787584057
2026-07-20,101467.64569457324,-0.00960189824877378
2026-07-20,101395.26670402644,-0.010308369896494831
2026-07-20,101265.50168027714,-0.011574971011709982
2026-07-21,101214.3469360099,-0.01207427856212217
2026-07-21,101152.34994038491,-0.012679414380155124
2026-07-21,101104.25498510715,-0.01314885616216201
2026-07-21,101004.7982312543,-0.014119626495384294
2026-07-22,100948.34521228932,-0.014670649064581775
2026-07-22,100903.04985649517,-0.015112764717207712
2026-07-22,100825.82818601464,-0.015866504447093532
2026-07-23,100668.4543220059,-0.017402587945558375
2026-07-23,100599.39959838739,-0.01807661232762191
2026-07-23,100552.76150905614,-0.018531834037229782
2026-07-23,100488.17055202107,-0.0191622888073187
2026-07-23,100392.44462942933,-0.020096643510970916
2026-07-24,100341.59789548612,-0.020592944656354622
2026-07-24,100290.4865684348,-0.021091828423126763
2026-07-24,100198.27804065721,-0.02199185079233687
2026-07-24,100123.3679473849,-0.022723027845584196
2026-07-24,100028.18179917287,-0.02365211395827447
2026-07-27,99935.67476758035,-0.024555049942062434
2026-07-27,99800.4199521571,-0.025875235421196532
2026-07-27,99731.65893354396,-0.026546393028557595
2026-07-27,99676.97507224709,-0.027080147330770063
2026-07-27,99591.72158910935,-0.027912283400246398
2026-07-28,99521.36116386182,-0.028599052380905755
2026-07-28,99464.9477397374,-0.02914968847562987
2026-07-28,99426.6175229478,-0.029523819300172758
2026-07-28,99361.97861047366,-0.030154742150263834
2026-07-28,99325.39621931652,-0.030511812924021674
2026-07-29,99245.77042807179,-0.03128901862303436
2026-07-29,99180.17821897267,-0.03192924634229163
2026-07-29,99136.92128219524,-0.03235146554111775
2026-07-29,99613.31772923926,-0.0277014893481778
2026-07-29,99489.4776206065,-0.028910258977856075
2026-07-30,99438.38164163701,-0.029408992936174473
2026-07-30,100148.82209846693,-0.022474576797560354
2026-07-30,100095.67061877018,-0.02299337393961081
2026-07-31,100019.79044185615,-0.023734019715530477
2026-07-31,99966.06494334838,-0.02425841969912627
