session_date,equity,drawdown_pct
2026-07-01,25122.627290782202,0.0
2026-07-02,24665.259016360185,-0.018205431666369974
2026-07-06,24196.17202044568,-0.03687732415934261
2026-07-08,23678.74951220486,-0.057473199831576456
2026-07-09,24653.773730586057,-0.018662600641620508
2026-07-10,24234.857854331724,-0.03533744405690451
2026-07-13,27026.091991372614,0.0
2026-07-13,26711.570605657762,-0.011637693892822345
2026-07-14,26203.046309836063,-0.03045374380429426
2026-07-16,25672.92506787728,-0.050068908369263934
2026-07-17,25250.85564706879,-0.06568601723366152
2026-07-17,24849.348296203156,-0.08054230318850124
2026-07-20,24188.77500416252,-0.10498436059922522
2026-07-21,23698.20545088379,-0.12313606205259592
2026-07-22,23227.942046147466,-0.14053641001583247
2026-07-23,22822.068395075825,-0.15555425466763065
2026-07-23,22462.266740845935,-0.16886737645914782
2026-07-24,22006.733166455917,-0.18572270184379594
2026-07-27,21505.255089272985,-0.20427803264571193
2026-07-28,20977.910891568336,-0.22379044301836185
2026-07-29,20520.79216746026,-0.24070442097174113
2026-07-31,20124.86608892293,-0.2553541927058017
