symbol,session_date,scenario,cost_model,reason
WMT,2026-07-01,research_fidelity,zero,max_gross_exposure
NKE,2026-07-01,research_fidelity,zero,max_gross_exposure
MDLZ,2026-07-01,research_fidelity,zero,max_gross_exposure
AXON,2026-07-01,research_fidelity,zero,max_gross_exposure
KO,2026-07-01,research_fidelity,zero,max_gross_exposure
PLTR,2026-07-01,research_fidelity,zero,max_gross_exposure
SLB,2026-07-01,research_fidelity,zero,max_gross_exposure
APP,2026-07-01,research_fidelity,zero,max_gross_exposure
XLF,2026-07-01,research_fidelity,zero,max_gross_exposure
CRM,2026-07-01,research_fidelity,zero,max_gross_exposure
CRWD,2026-07-01,research_fidelity,zero,max_gross_exposure
ORCL,2026-07-01,research_fidelity,zero,max_gross_exposure
XLRE,2026-07-01,research_fidelity,zero,max_gross_exposure
T,2026-07-01,research_fidelity,zero,max_gross_exposure
PM,2026-07-01,research_fidelity,zero,max_gross_exposure
ISRG,2026-07-01,research_fidelity,zero,max_gross_exposure
VRTX,2026-07-01,research_fidelity,zero,max_gross_exposure
XLB,2026-07-01,research_fidelity,zero,max_gross_exposure
WMT,2026-07-01,research_fidelity,baseline,max_gross_exposure
NKE,2026-07-01,research_fidelity,baseline,max_gross_exposure
MDLZ,2026-07-01,research_fidelity,baseline,max_gross_exposure
AXON,2026-07-01,research_fidelity,baseline,max_gross_exposure
KO,2026-07-01,research_fidelity,baseline,max_gross_exposure
PLTR,2026-07-01,research_fidelity,baseline,max_gross_exposure
SLB,2026-07-01,research_fidelity,baseline,max_gross_exposure
APP,2026-07-01,research_fidelity,baseline,max_gross_exposure
XLF,2026-07-01,research_fidelity,baseline,max_gross_exposure
CRM,2026-07-01,research_fidelity,baseline,max_gross_exposure
CRWD,2026-07-01,research_fidelity,baseline,max_gross_exposure
ORCL,2026-07-01,research_fidelity,baseline,max_gross_exposure
XLRE,2026-07-01,research_fidelity,baseline,max_gross_exposure
T,2026-07-01,research_fidelity,baseline,max_gross_exposure
PM,2026-07-01,research_fidelity,baseline,max_gross_exposure
ISRG,2026-07-01,research_fidelity,baseline,max_gross_exposure
VRTX,2026-07-01,research_fidelity,baseline,max_gross_exposure
XLB,2026-07-01,research_fidelity,baseline,max_gross_exposure
WMT,2026-07-01,research_fidelity,stressed,max_gross_exposure
NKE,2026-07-01,research_fidelity,stressed,max_gross_exposure
MDLZ,2026-07-01,research_fidelity,stressed,max_gross_exposure
