symbol,session_date,scenario,cost_model,reason
AXON,2026-07-01,research_fidelity,stressed,max_gross_exposure
KO,2026-07-01,research_fidelity,stressed,max_gross_exposure
PLTR,2026-07-01,research_fidelity,stressed,max_gross_exposure
SLB,2026-07-01,research_fidelity,stressed,max_gross_exposure
APP,2026-07-01,research_fidelity,stressed,max_gross_exposure
XLF,2026-07-01,research_fidelity,stressed,max_gross_exposure
CRM,2026-07-01,research_fidelity,stressed,max_gross_exposure
CRWD,2026-07-01,research_fidelity,stressed,max_gross_exposure
ORCL,2026-07-01,research_fidelity,stressed,max_gross_exposure
XLRE,2026-07-01,research_fidelity,stressed,max_gross_exposure
T,2026-07-01,research_fidelity,stressed,max_gross_exposure
PM,2026-07-01,research_fidelity,stressed,max_gross_exposure
ISRG,2026-07-01,research_fidelity,stressed,max_gross_exposure
VRTX,2026-07-01,research_fidelity,stressed,max_gross_exposure
XLB,2026-07-01,research_fidelity,stressed,max_gross_exposure
AXON,2026-07-01,intended_deployment,zero,max_concurrent_positions
KO,2026-07-01,intended_deployment,zero,max_concurrent_positions
PLTR,2026-07-01,intended_deployment,zero,max_concurrent_positions
SLB,2026-07-01,intended_deployment,zero,max_concurrent_positions
APP,2026-07-01,intended_deployment,zero,max_concurrent_positions
XLF,2026-07-01,intended_deployment,zero,max_concurrent_positions
CRM,2026-07-01,intended_deployment,zero,max_concurrent_positions
CRWD,2026-07-01,intended_deployment,zero,max_concurrent_positions
ORCL,2026-07-01,intended_deployment,zero,max_concurrent_positions
XLRE,2026-07-01,intended_deployment,zero,max_concurrent_positions
T,2026-07-01,intended_deployment,zero,max_concurrent_positions
PM,2026-07-01,intended_deployment,zero,max_concurrent_positions
ISRG,2026-07-01,intended_deployment,zero,max_concurrent_positions
VRTX,2026-07-01,intended_deployment,zero,max_concurrent_positions
XLB,2026-07-01,intended_deployment,zero,max_concurrent_positions
AXON,2026-07-01,intended_deployment,baseline,max_concurrent_positions
KO,2026-07-01,intended_deployment,baseline,max_concurrent_positions
PLTR,2026-07-01,intended_deployment,baseline,max_concurrent_positions
SLB,2026-07-01,intended_deployment,baseline,max_concurrent_positions
APP,2026-07-01,intended_deployment,baseline,max_concurrent_positions
XLF,2026-07-01,intended_deployment,baseline,max_concurrent_positions
CRM,2026-07-01,intended_deployment,baseline,max_concurrent_positions
CRWD,2026-07-01,intended_deployment,baseline,max_concurrent_positions
ORCL,2026-07-01,intended_deployment,baseline,max_concurrent_positions
XLRE,2026-07-01,intended_deployment,baseline,max_concurrent_positions
T,2026-07-01,intended_deployment,baseline,max_concurrent_positions
PM,2026-07-01,intended_deployment,baseline,max_concurrent_positions
ISRG,2026-07-01,intended_deployment,baseline,max_concurrent_positions
VRTX,2026-07-01,intended_deployment,baseline,max_concurrent_positions
XLB,2026-07-01,intended_deployment,baseline,max_concurrent_positions
AXON,2026-07-01,intended_deployment,stressed,max_concurrent_positions
KO,2026-07-01,intended_deployment,stressed,max_concurrent_positions
PLTR,2026-07-01,intended_deployment,stressed,max_concurrent_positions
SLB,2026-07-01,intended_deployment,stressed,max_concurrent_positions
APP,2026-07-01,intended_deployment,stressed,max_concurrent_positions
XLF,2026-07-01,intended_deployment,stressed,max_concurrent_positions
CRM,2026-07-01,intended_deployment,stressed,max_concurrent_positions
CRWD,2026-07-01,intended_deployment,stressed,max_concurrent_positions
ORCL,2026-07-01,intended_deployment,stressed,max_concurrent_positions
XLRE,2026-07-01,intended_deployment,stressed,max_concurrent_positions
T,2026-07-01,intended_deployment,stressed,max_concurrent_positions
PM,2026-07-01,intended_deployment,stressed,max_concurrent_positions
ISRG,2026-07-01,intended_deployment,stressed,max_concurrent_positions
VRTX,2026-07-01,intended_deployment,stressed,max_concurrent_positions
XLB,2026-07-01,intended_deployment,stressed,max_concurrent_positions
AMT,2026-07-02,research_fidelity,zero,max_gross_exposure
PEP,2026-07-02,research_fidelity,zero,max_gross_exposure
XLF,2026-07-02,research_fidelity,zero,max_gross_exposure
AXON,2026-07-02,research_fidelity,zero,max_gross_exposure
COP,2026-07-02,research_fidelity,zero,max_gross_exposure
KO,2026-07-02,research_fidelity,zero,max_gross_exposure
PLTR,2026-07-02,research_fidelity,zero,max_gross_exposure
SPGI,2026-07-02,research_fidelity,zero,max_gross_exposure
REGN,2026-07-02,research_fidelity,zero,max_gross_exposure
MA,2026-07-02,research_fidelity,zero,max_gross_exposure
MRNA,2026-07-02,research_fidelity,zero,max_gross_exposure
XLU,2026-07-02,research_fidelity,zero,max_gross_exposure
WMT,2026-07-02,research_fidelity,zero,max_gross_exposure
UBER,2026-07-02,research_fidelity,zero,max_gross_exposure
VZ,2026-07-02,research_fidelity,zero,max_gross_exposure
GLD,2026-07-02,research_fidelity,zero,max_gross_exposure
XLC,2026-07-02,research_fidelity,zero,max_gross_exposure
DECK,2026-07-02,research_fidelity,zero,max_gross_exposure
EBAY,2026-07-02,research_fidelity,zero,max_gross_exposure
AMT,2026-07-02,research_fidelity,baseline,max_gross_exposure
PEP,2026-07-02,research_fidelity,baseline,max_gross_exposure
XLF,2026-07-02,research_fidelity,baseline,max_gross_exposure
AXON,2026-07-02,research_fidelity,baseline,max_gross_exposure
COP,2026-07-02,research_fidelity,baseline,max_gross_exposure
KO,2026-07-02,research_fidelity,baseline,max_gross_exposure
PLTR,2026-07-02,research_fidelity,baseline,max_gross_exposure
SPGI,2026-07-02,research_fidelity,baseline,max_gross_exposure
REGN,2026-07-02,research_fidelity,baseline,max_gross_exposure
MA,2026-07-02,research_fidelity,baseline,max_gross_exposure
MRNA,2026-07-02,research_fidelity,baseline,max_gross_exposure
XLU,2026-07-02,research_fidelity,baseline,max_gross_exposure
WMT,2026-07-02,research_fidelity,baseline,max_gross_exposure
UBER,2026-07-02,research_fidelity,baseline,max_gross_exposure
VZ,2026-07-02,research_fidelity,baseline,max_gross_exposure
GLD,2026-07-02,research_fidelity,baseline,max_gross_exposure
XLC,2026-07-02,research_fidelity,baseline,max_gross_exposure
DECK,2026-07-02,research_fidelity,baseline,max_gross_exposure
EBAY,2026-07-02,research_fidelity,baseline,max_gross_exposure
AMT,2026-07-02,research_fidelity,stressed,max_gross_exposure
PEP,2026-07-02,research_fidelity,stressed,max_gross_exposure
XLF,2026-07-02,research_fidelity,stressed,max_gross_exposure
AXON,2026-07-02,research_fidelity,stressed,max_gross_exposure
COP,2026-07-02,research_fidelity,stressed,max_gross_exposure
KO,2026-07-02,research_fidelity,stressed,max_gross_exposure
PLTR,2026-07-02,research_fidelity,stressed,max_gross_exposure
SPGI,2026-07-02,research_fidelity,stressed,max_gross_exposure
REGN,2026-07-02,research_fidelity,stressed,max_gross_exposure
MA,2026-07-02,research_fidelity,stressed,max_gross_exposure
MRNA,2026-07-02,research_fidelity,stressed,max_gross_exposure
XLU,2026-07-02,research_fidelity,stressed,max_gross_exposure
WMT,2026-07-02,research_fidelity,stressed,max_gross_exposure
UBER,2026-07-02,research_fidelity,stressed,max_gross_exposure
VZ,2026-07-02,research_fidelity,stressed,max_gross_exposure
GLD,2026-07-02,research_fidelity,stressed,max_gross_exposure
XLC,2026-07-02,research_fidelity,stressed,max_gross_exposure
DECK,2026-07-02,research_fidelity,stressed,max_gross_exposure
EBAY,2026-07-02,research_fidelity,stressed,max_gross_exposure
COP,2026-07-02,intended_deployment,zero,max_concurrent_positions
KO,2026-07-02,intended_deployment,zero,max_concurrent_positions
PLTR,2026-07-02,intended_deployment,zero,max_concurrent_positions
SPGI,2026-07-02,intended_deployment,zero,max_concurrent_positions
REGN,2026-07-02,intended_deployment,zero,max_concurrent_positions
MA,2026-07-02,intended_deployment,zero,max_concurrent_positions
MRNA,2026-07-02,intended_deployment,zero,max_concurrent_positions
XLU,2026-07-02,intended_deployment,zero,max_concurrent_positions
WMT,2026-07-02,intended_deployment,zero,max_concurrent_positions
UBER,2026-07-02,intended_deployment,zero,max_concurrent_positions
VZ,2026-07-02,intended_deployment,zero,max_concurrent_positions
GLD,2026-07-02,intended_deployment,zero,max_concurrent_positions
XLC,2026-07-02,intended_deployment,zero,max_concurrent_positions
DECK,2026-07-02,intended_deployment,zero,max_concurrent_positions
EBAY,2026-07-02,intended_deployment,zero,max_concurrent_positions
COP,2026-07-02,intended_deployment,baseline,max_concurrent_positions
KO,2026-07-02,intended_deployment,baseline,max_concurrent_positions
PLTR,2026-07-02,intended_deployment,baseline,max_concurrent_positions
SPGI,2026-07-02,intended_deployment,baseline,max_concurrent_positions
REGN,2026-07-02,intended_deployment,baseline,max_concurrent_positions
MA,2026-07-02,intended_deployment,baseline,max_concurrent_positions
MRNA,2026-07-02,intended_deployment,baseline,max_concurrent_positions
XLU,2026-07-02,intended_deployment,baseline,max_concurrent_positions
WMT,2026-07-02,intended_deployment,baseline,max_concurrent_positions
UBER,2026-07-02,intended_deployment,baseline,max_concurrent_positions
VZ,2026-07-02,intended_deployment,baseline,max_concurrent_positions
GLD,2026-07-02,intended_deployment,baseline,max_concurrent_positions
XLC,2026-07-02,intended_deployment,baseline,max_concurrent_positions
DECK,2026-07-02,intended_deployment,baseline,max_concurrent_positions
EBAY,2026-07-02,intended_deployment,baseline,max_concurrent_positions
AXON,2026-07-02,intended_deployment,stressed,max_gross_exposure
COP,2026-07-02,intended_deployment,stressed,max_gross_exposure
KO,2026-07-02,intended_deployment,stressed,max_gross_exposure
PLTR,2026-07-02,intended_deployment,stressed,max_gross_exposure
SPGI,2026-07-02,intended_deployment,stressed,max_gross_exposure
REGN,2026-07-02,intended_deployment,stressed,max_gross_exposure
MA,2026-07-02,intended_deployment,stressed,max_gross_exposure
MRNA,2026-07-02,intended_deployment,stressed,max_gross_exposure
XLU,2026-07-02,intended_deployment,stressed,max_gross_exposure
WMT,2026-07-02,intended_deployment,stressed,max_gross_exposure
UBER,2026-07-02,intended_deployment,stressed,max_gross_exposure
VZ,2026-07-02,intended_deployment,stressed,max_gross_exposure
GLD,2026-07-02,intended_deployment,stressed,max_gross_exposure
XLC,2026-07-02,intended_deployment,stressed,max_gross_exposure
DECK,2026-07-02,intended_deployment,stressed,max_gross_exposure
EBAY,2026-07-02,intended_deployment,stressed,max_gross_exposure
USB,2026-07-06,research_fidelity,zero,max_gross_exposure
ISRG,2026-07-06,research_fidelity,zero,max_gross_exposure
VRTX,2026-07-06,research_fidelity,zero,max_gross_exposure
GLD,2026-07-06,research_fidelity,zero,max_gross_exposure
LULU,2026-07-06,research_fidelity,zero,max_gross_exposure
SPGI,2026-07-06,research_fidelity,zero,max_gross_exposure
T,2026-07-06,research_fidelity,zero,max_gross_exposure
JNJ,2026-07-06,research_fidelity,zero,max_gross_exposure
PANW,2026-07-06,research_fidelity,zero,max_gross_exposure
TMO,2026-07-06,research_fidelity,zero,max_gross_exposure
DE,2026-07-06,research_fidelity,zero,max_gross_exposure
PM,2026-07-06,research_fidelity,zero,max_gross_exposure
NKE,2026-07-06,research_fidelity,zero,max_gross_exposure
GE,2026-07-06,research_fidelity,zero,max_gross_exposure
DXCM,2026-07-06,research_fidelity,zero,max_gross_exposure
PEP,2026-07-06,research_fidelity,zero,max_gross_exposure
COST,2026-07-06,research_fidelity,zero,max_gross_exposure
LLY,2026-07-06,research_fidelity,zero,max_gross_exposure
PFE,2026-07-06,research_fidelity,zero,max_gross_exposure
USB,2026-07-06,research_fidelity,baseline,max_gross_exposure
ISRG,2026-07-06,research_fidelity,baseline,max_gross_exposure
VRTX,2026-07-06,research_fidelity,baseline,max_gross_exposure
GLD,2026-07-06,research_fidelity,baseline,max_gross_exposure
LULU,2026-07-06,research_fidelity,baseline,max_gross_exposure
SPGI,2026-07-06,research_fidelity,baseline,max_gross_exposure
T,2026-07-06,research_fidelity,baseline,max_gross_exposure
JNJ,2026-07-06,research_fidelity,baseline,max_gross_exposure
PANW,2026-07-06,research_fidelity,baseline,max_gross_exposure
TMO,2026-07-06,research_fidelity,baseline,max_gross_exposure
DE,2026-07-06,research_fidelity,baseline,max_gross_exposure
PM,2026-07-06,research_fidelity,baseline,max_gross_exposure
NKE,2026-07-06,research_fidelity,baseline,max_gross_exposure
GE,2026-07-06,research_fidelity,baseline,max_gross_exposure
DXCM,2026-07-06,research_fidelity,baseline,max_gross_exposure
PEP,2026-07-06,research_fidelity,baseline,max_gross_exposure
COST,2026-07-06,research_fidelity,baseline,max_gross_exposure
LLY,2026-07-06,research_fidelity,baseline,max_gross_exposure
PFE,2026-07-06,research_fidelity,baseline,max_gross_exposure
USB,2026-07-06,research_fidelity,stressed,max_gross_exposure
ISRG,2026-07-06,research_fidelity,stressed,max_gross_exposure
VRTX,2026-07-06,research_fidelity,stressed,max_gross_exposure
GLD,2026-07-06,research_fidelity,stressed,max_gross_exposure
LULU,2026-07-06,research_fidelity,stressed,max_gross_exposure
SPGI,2026-07-06,research_fidelity,stressed,max_gross_exposure
T,2026-07-06,research_fidelity,stressed,max_gross_exposure
JNJ,2026-07-06,research_fidelity,stressed,max_gross_exposure
PANW,2026-07-06,research_fidelity,stressed,max_gross_exposure
TMO,2026-07-06,research_fidelity,stressed,max_gross_exposure
DE,2026-07-06,research_fidelity,stressed,max_gross_exposure
PM,2026-07-06,research_fidelity,stressed,max_gross_exposure
NKE,2026-07-06,research_fidelity,stressed,max_gross_exposure
GE,2026-07-06,research_fidelity,stressed,max_gross_exposure
DXCM,2026-07-06,research_fidelity,stressed,max_gross_exposure
PEP,2026-07-06,research_fidelity,stressed,max_gross_exposure
COST,2026-07-06,research_fidelity,stressed,max_gross_exposure
LLY,2026-07-06,research_fidelity,stressed,max_gross_exposure
PFE,2026-07-06,research_fidelity,stressed,max_gross_exposure
LULU,2026-07-06,intended_deployment,zero,max_concurrent_positions
SPGI,2026-07-06,intended_deployment,zero,max_concurrent_positions
T,2026-07-06,intended_deployment,zero,max_concurrent_positions
JNJ,2026-07-06,intended_deployment,zero,max_concurrent_positions
PANW,2026-07-06,intended_deployment,zero,max_concurrent_positions
TMO,2026-07-06,intended_deployment,zero,max_concurrent_positions
DE,2026-07-06,intended_deployment,zero,max_concurrent_positions
PM,2026-07-06,intended_deployment,zero,max_concurrent_positions
NKE,2026-07-06,intended_deployment,zero,max_concurrent_positions
GE,2026-07-06,intended_deployment,zero,max_concurrent_positions
DXCM,2026-07-06,intended_deployment,zero,max_concurrent_positions
PEP,2026-07-06,intended_deployment,zero,max_concurrent_positions
COST,2026-07-06,intended_deployment,zero,max_concurrent_positions
LLY,2026-07-06,intended_deployment,zero,max_concurrent_positions
PFE,2026-07-06,intended_deployment,zero,max_concurrent_positions
GLD,2026-07-06,intended_deployment,baseline,max_gross_exposure
LULU,2026-07-06,intended_deployment,baseline,max_gross_exposure
SPGI,2026-07-06,intended_deployment,baseline,max_gross_exposure
T,2026-07-06,intended_deployment,baseline,max_gross_exposure
JNJ,2026-07-06,intended_deployment,baseline,max_gross_exposure
PANW,2026-07-06,intended_deployment,baseline,max_gross_exposure
TMO,2026-07-06,intended_deployment,baseline,max_gross_exposure
DE,2026-07-06,intended_deployment,baseline,max_gross_exposure
PM,2026-07-06,intended_deployment,baseline,max_gross_exposure
NKE,2026-07-06,intended_deployment,baseline,max_gross_exposure
GE,2026-07-06,intended_deployment,baseline,max_gross_exposure
DXCM,2026-07-06,intended_deployment,baseline,max_gross_exposure
PEP,2026-07-06,intended_deployment,baseline,max_gross_exposure
COST,2026-07-06,intended_deployment,baseline,max_gross_exposure
LLY,2026-07-06,intended_deployment,baseline,max_gross_exposure
PFE,2026-07-06,intended_deployment,baseline,max_gross_exposure
GLD,2026-07-06,intended_deployment,stressed,max_gross_exposure
LULU,2026-07-06,intended_deployment,stressed,max_gross_exposure
SPGI,2026-07-06,intended_deployment,stressed,max_gross_exposure
T,2026-07-06,intended_deployment,stressed,max_gross_exposure
JNJ,2026-07-06,intended_deployment,stressed,max_gross_exposure
PANW,2026-07-06,intended_deployment,stressed,max_gross_exposure
TMO,2026-07-06,intended_deployment,stressed,max_gross_exposure
DE,2026-07-06,intended_deployment,stressed,max_gross_exposure
PM,2026-07-06,intended_deployment,stressed,max_gross_exposure
NKE,2026-07-06,intended_deployment,stressed,max_gross_exposure
GE,2026-07-06,intended_deployment,stressed,max_gross_exposure
DXCM,2026-07-06,intended_deployment,stressed,max_gross_exposure
PEP,2026-07-06,intended_deployment,stressed,max_gross_exposure
COST,2026-07-06,intended_deployment,stressed,max_gross_exposure
LLY,2026-07-06,intended_deployment,stressed,max_gross_exposure
PFE,2026-07-06,intended_deployment,stressed,max_gross_exposure
V,2026-07-07,research_fidelity,zero,max_gross_exposure
LIN,2026-07-07,research_fidelity,zero,max_gross_exposure
AXON,2026-07-07,research_fidelity,zero,max_gross_exposure
MA,2026-07-07,research_fidelity,zero,max_gross_exposure
IBB,2026-07-07,research_fidelity,zero,max_gross_exposure
KHC,2026-07-07,research_fidelity,zero,max_gross_exposure
INTC,2026-07-07,research_fidelity,zero,max_gross_exposure
AMAT,2026-07-07,research_fidelity,zero,max_gross_exposure
XLY,2026-07-07,research_fidelity,zero,max_gross_exposure
LLY,2026-07-07,research_fidelity,zero,max_gross_exposure
PEP,2026-07-07,research_fidelity,zero,max_gross_exposure
MDT,2026-07-07,research_fidelity,zero,max_gross_exposure
XLB,2026-07-07,research_fidelity,zero,max_gross_exposure
NEM,2026-07-07,research_fidelity,zero,max_gross_exposure
KO,2026-07-07,research_fidelity,zero,max_gross_exposure
COF,2026-07-07,research_fidelity,zero,max_gross_exposure
PANW,2026-07-07,research_fidelity,zero,max_gross_exposure
MSFT,2026-07-07,research_fidelity,zero,max_gross_exposure
XLV,2026-07-07,research_fidelity,zero,max_gross_exposure
V,2026-07-07,research_fidelity,baseline,max_gross_exposure
LIN,2026-07-07,research_fidelity,baseline,max_gross_exposure
AXON,2026-07-07,research_fidelity,baseline,max_gross_exposure
MA,2026-07-07,research_fidelity,baseline,max_gross_exposure
IBB,2026-07-07,research_fidelity,baseline,max_gross_exposure
KHC,2026-07-07,research_fidelity,baseline,max_gross_exposure
INTC,2026-07-07,research_fidelity,baseline,max_gross_exposure
AMAT,2026-07-07,research_fidelity,baseline,max_gross_exposure
XLY,2026-07-07,research_fidelity,baseline,max_gross_exposure
LLY,2026-07-07,research_fidelity,baseline,max_gross_exposure
PEP,2026-07-07,research_fidelity,baseline,max_gross_exposure
MDT,2026-07-07,research_fidelity,baseline,max_gross_exposure
XLB,2026-07-07,research_fidelity,baseline,max_gross_exposure
NEM,2026-07-07,research_fidelity,baseline,max_gross_exposure
KO,2026-07-07,research_fidelity,baseline,max_gross_exposure
COF,2026-07-07,research_fidelity,baseline,max_gross_exposure
PANW,2026-07-07,research_fidelity,baseline,max_gross_exposure
MSFT,2026-07-07,research_fidelity,baseline,max_gross_exposure
XLV,2026-07-07,research_fidelity,baseline,max_gross_exposure
V,2026-07-07,research_fidelity,stressed,max_gross_exposure
LIN,2026-07-07,research_fidelity,stressed,max_gross_exposure
AXON,2026-07-07,research_fidelity,stressed,max_gross_exposure
MA,2026-07-07,research_fidelity,stressed,max_gross_exposure
IBB,2026-07-07,research_fidelity,stressed,max_gross_exposure
KHC,2026-07-07,research_fidelity,stressed,max_gross_exposure
INTC,2026-07-07,research_fidelity,stressed,max_gross_exposure
AMAT,2026-07-07,research_fidelity,stressed,max_gross_exposure
XLY,2026-07-07,research_fidelity,stressed,max_gross_exposure
LLY,2026-07-07,research_fidelity,stressed,max_gross_exposure
PEP,2026-07-07,research_fidelity,stressed,max_gross_exposure
MDT,2026-07-07,research_fidelity,stressed,max_gross_exposure
XLB,2026-07-07,research_fidelity,stressed,max_gross_exposure
NEM,2026-07-07,research_fidelity,stressed,max_gross_exposure
KO,2026-07-07,research_fidelity,stressed,max_gross_exposure
COF,2026-07-07,research_fidelity,stressed,max_gross_exposure
PANW,2026-07-07,research_fidelity,stressed,max_gross_exposure
MSFT,2026-07-07,research_fidelity,stressed,max_gross_exposure
XLV,2026-07-07,research_fidelity,stressed,max_gross_exposure
MA,2026-07-07,intended_deployment,zero,max_gross_exposure
IBB,2026-07-07,intended_deployment,zero,max_gross_exposure
KHC,2026-07-07,intended_deployment,zero,max_gross_exposure
INTC,2026-07-07,intended_deployment,zero,max_gross_exposure
AMAT,2026-07-07,intended_deployment,zero,max_gross_exposure
XLY,2026-07-07,intended_deployment,zero,max_gross_exposure
LLY,2026-07-07,intended_deployment,zero,max_gross_exposure
PEP,2026-07-07,intended_deployment,zero,max_gross_exposure
MDT,2026-07-07,intended_deployment,zero,max_gross_exposure
XLB,2026-07-07,intended_deployment,zero,max_gross_exposure
NEM,2026-07-07,intended_deployment,zero,max_gross_exposure
KO,2026-07-07,intended_deployment,zero,max_gross_exposure
COF,2026-07-07,intended_deployment,zero,max_gross_exposure
PANW,2026-07-07,intended_deployment,zero,max_gross_exposure
MSFT,2026-07-07,intended_deployment,zero,max_gross_exposure
XLV,2026-07-07,intended_deployment,zero,max_gross_exposure
IBB,2026-07-07,intended_deployment,baseline,max_concurrent_positions
KHC,2026-07-07,intended_deployment,baseline,max_concurrent_positions
INTC,2026-07-07,intended_deployment,baseline,max_concurrent_positions
AMAT,2026-07-07,intended_deployment,baseline,max_concurrent_positions
XLY,2026-07-07,intended_deployment,baseline,max_concurrent_positions
LLY,2026-07-07,intended_deployment,baseline,max_concurrent_positions
PEP,2026-07-07,intended_deployment,baseline,max_concurrent_positions
MDT,2026-07-07,intended_deployment,baseline,max_concurrent_positions
XLB,2026-07-07,intended_deployment,baseline,max_concurrent_positions
NEM,2026-07-07,intended_deployment,baseline,max_concurrent_positions
KO,2026-07-07,intended_deployment,baseline,max_concurrent_positions
COF,2026-07-07,intended_deployment,baseline,max_concurrent_positions
PANW,2026-07-07,intended_deployment,baseline,max_concurrent_positions
MSFT,2026-07-07,intended_deployment,baseline,max_concurrent_positions
XLV,2026-07-07,intended_deployment,baseline,max_concurrent_positions
MA,2026-07-07,intended_deployment,stressed,max_gross_exposure
IBB,2026-07-07,intended_deployment,stressed,max_gross_exposure
KHC,2026-07-07,intended_deployment,stressed,max_gross_exposure
INTC,2026-07-07,intended_deployment,stressed,max_gross_exposure
AMAT,2026-07-07,intended_deployment,stressed,max_gross_exposure
XLY,2026-07-07,intended_deployment,stressed,max_gross_exposure
LLY,2026-07-07,intended_deployment,stressed,max_gross_exposure
PEP,2026-07-07,intended_deployment,stressed,max_gross_exposure
MDT,2026-07-07,intended_deployment,stressed,max_gross_exposure
XLB,2026-07-07,intended_deployment,stressed,max_gross_exposure
NEM,2026-07-07,intended_deployment,stressed,max_gross_exposure
KO,2026-07-07,intended_deployment,stressed,max_gross_exposure
COF,2026-07-07,intended_deployment,stressed,max_gross_exposure
PANW,2026-07-07,intended_deployment,stressed,max_gross_exposure
MSFT,2026-07-07,intended_deployment,stressed,max_gross_exposure
XLV,2026-07-07,intended_deployment,stressed,max_gross_exposure
SLB,2026-07-08,research_fidelity,zero,max_gross_exposure
SPGI,2026-07-08,research_fidelity,zero,max_gross_exposure
RTX,2026-07-08,research_fidelity,zero,max_gross_exposure
OXY,2026-07-08,research_fidelity,zero,max_gross_exposure
CVX,2026-07-08,research_fidelity,zero,max_gross_exposure
AXP,2026-07-08,research_fidelity,zero,max_gross_exposure
XOM,2026-07-08,research_fidelity,zero,max_gross_exposure
ABT,2026-07-08,research_fidelity,zero,max_gross_exposure
USB,2026-07-08,research_fidelity,zero,max_gross_exposure
NEM,2026-07-08,research_fidelity,zero,max_gross_exposure
GE,2026-07-08,research_fidelity,zero,max_gross_exposure
DVN,2026-07-08,research_fidelity,zero,max_gross_exposure
IWM,2026-07-08,research_fidelity,zero,max_gross_exposure
PANW,2026-07-08,research_fidelity,zero,max_gross_exposure
GILD,2026-07-08,research_fidelity,zero,max_gross_exposure
MRK,2026-07-08,research_fidelity,zero,max_gross_exposure
AMT,2026-07-08,research_fidelity,zero,max_gross_exposure
C,2026-07-08,research_fidelity,zero,max_gross_exposure
MPC,2026-07-08,research_fidelity,zero,max_gross_exposure
SLB,2026-07-08,research_fidelity,baseline,max_gross_exposure
SPGI,2026-07-08,research_fidelity,baseline,max_gross_exposure
RTX,2026-07-08,research_fidelity,baseline,max_gross_exposure
OXY,2026-07-08,research_fidelity,baseline,max_gross_exposure
CVX,2026-07-08,research_fidelity,baseline,max_gross_exposure
AXP,2026-07-08,research_fidelity,baseline,max_gross_exposure
XOM,2026-07-08,research_fidelity,baseline,max_gross_exposure
ABT,2026-07-08,research_fidelity,baseline,max_gross_exposure
USB,2026-07-08,research_fidelity,baseline,max_gross_exposure
NEM,2026-07-08,research_fidelity,baseline,max_gross_exposure
GE,2026-07-08,research_fidelity,baseline,max_gross_exposure
DVN,2026-07-08,research_fidelity,baseline,max_gross_exposure
IWM,2026-07-08,research_fidelity,baseline,max_gross_exposure
PANW,2026-07-08,research_fidelity,baseline,max_gross_exposure
GILD,2026-07-08,research_fidelity,baseline,max_gross_exposure
MRK,2026-07-08,research_fidelity,baseline,max_gross_exposure
AMT,2026-07-08,research_fidelity,baseline,max_gross_exposure
C,2026-07-08,research_fidelity,baseline,max_gross_exposure
MPC,2026-07-08,research_fidelity,baseline,max_gross_exposure
SLB,2026-07-08,research_fidelity,stressed,max_gross_exposure
SPGI,2026-07-08,research_fidelity,stressed,max_gross_exposure
RTX,2026-07-08,research_fidelity,stressed,max_gross_exposure
OXY,2026-07-08,research_fidelity,stressed,max_gross_exposure
