cost_model,date,delta1_expiration_sessions,delta2_enabled,delta3_enabled,portfolio,reason,symbol,variant_id
zero,2026-07-02,,False,False,current_1pct,SPY research-stock-sip-1Minute 2026-07-02 15:16:00..2026-08-01 00:00:00 not fully cached,SPY,d1_off_d2_off_d3_off
zero,2026-07-07,,False,False,current_1pct,MSFT research-stock-sip-1Minute 2026-07-07 15:16:00..2026-08-01 00:00:00 not fully cached,MSFT,d1_off_d2_off_d3_off
zero,2026-07-13,,False,False,current_1pct,AAPL research-stock-sip-1Minute 2026-07-13 15:16:00..2026-08-01 00:00:00 not fully cached,AAPL,d1_off_d2_off_d3_off
baseline,2026-07-02,,False,False,current_1pct,SPY research-stock-sip-1Minute 2026-07-02 15:16:00..2026-08-01 00:00:00 not fully cached,SPY,d1_off_d2_off_d3_off
baseline,2026-07-07,,False,False,current_1pct,MSFT research-stock-sip-1Minute 2026-07-07 15:16:00..2026-08-01 00:00:00 not fully cached,MSFT,d1_off_d2_off_d3_off
baseline,2026-07-13,,False,False,current_1pct,AAPL research-stock-sip-1Minute 2026-07-13 15:16:00..2026-08-01 00:00:00 not fully cached,AAPL,d1_off_d2_off_d3_off
stressed,2026-07-02,,False,False,current_1pct,SPY research-stock-sip-1Minute 2026-07-02 15:16:00..2026-08-01 00:00:00 not fully cached,SPY,d1_off_d2_off_d3_off
stressed,2026-07-07,,False,False,current_1pct,MSFT research-stock-sip-1Minute 2026-07-07 15:16:00..2026-08-01 00:00:00 not fully cached,MSFT,d1_off_d2_off_d3_off
stressed,2026-07-13,,False,False,current_1pct,AAPL research-stock-sip-1Minute 2026-07-13 15:16:00..2026-08-01 00:00:00 not fully cached,AAPL,d1_off_d2_off_d3_off
zero,2026-07-02,,False,False,safe_0_25pct,SPY research-stock-sip-1Minute 2026-07-02 15:16:00..2026-08-01 00:00:00 not fully cached,SPY,d1_off_d2_off_d3_off
zero,2026-07-07,,False,False,safe_0_25pct,MSFT research-stock-sip-1Minute 2026-07-07 15:16:00..2026-08-01 00:00:00 not fully cached,MSFT,d1_off_d2_off_d3_off
zero,2026-07-13,,False,False,safe_0_25pct,AAPL research-stock-sip-1Minute 2026-07-13 15:16:00..2026-08-01 00:00:00 not fully cached,AAPL,d1_off_d2_off_d3_off
baseline,2026-07-02,,False,False,safe_0_25pct,SPY research-stock-sip-1Minute 2026-07-02 15:16:00..2026-08-01 00:00:00 not fully cached,SPY,d1_off_d2_off_d3_off
